repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,response_time_hours,review_time_hours,lines_of_code,changed_files,url
angular/angular,59960,atscott,2025-02-14T18:10:44Z,,2025-02-14T18:40:00Z,1,thePunderWoman,0.09555555555555556,0.48777777777777775,3,1,https://api.github.com/repos/angular/angular/pulls/59960
angular/angular,59958,thePunderWoman,2025-02-14T17:28:48Z,,2025-02-14T18:01:31Z,1,josephperrott,0.40805555555555556,0.5452777777777778,49,3,https://api.github.com/repos/angular/angular/pulls/59958
angular/angular,59957,alan-agius4,2025-02-14T17:11:41Z,,2025-02-14T17:24:58Z,2,"thePunderWoman, josephperrott",0.015,0.22138888888888889,2,1,https://api.github.com/repos/angular/angular/pulls/59957
angular/angular,59952,crisbeto,2025-02-14T08:56:29Z,,2025-02-14T16:32:54Z,1,devversion,2.629722222222222,7.606944444444444,48,4,https://api.github.com/repos/angular/angular/pulls/59952
angular/angular,59948,angular-robot,2025-02-14T01:37:53Z,,2025-02-14T16:34:26Z,1,thePunderWoman,14.928055555555556,14.9425,6,1,https://api.github.com/repos/angular/angular/pulls/59948
angular/angular,59946,josephperrott,2025-02-13T22:40:17Z,,2025-02-14T16:30:20Z,1,thePunderWoman,0.15,17.83416666666667,1184,15,https://api.github.com/repos/angular/angular/pulls/59946
angular/angular,59945,thePunderWoman,2025-02-13T21:40:55Z,,2025-02-13T22:35:06Z,1,AndrewKushnir,0.5725,0.9030555555555555,216,1,https://api.github.com/repos/angular/angular/pulls/59945
angular/angular,59943,alan-agius4,2025-02-13T20:09:37Z,,2025-02-14T16:31:07Z,2,"thePunderWoman, devversion",0.21472222222222223,20.358333333333334,18,1,https://api.github.com/repos/angular/angular/pulls/59943
angular/angular,59942,thePunderWoman,2025-02-13T20:08:31Z,,2025-02-13T20:16:52Z,1,AndrewKushnir,0.030833333333333334,0.13916666666666666,2,1,https://api.github.com/repos/angular/angular/pulls/59942
angular/angular,59941,thePunderWoman,2025-02-13T17:42:10Z,,2025-02-13T19:17:16Z,1,josephperrott,0.20222222222222222,1.585,4,1,https://api.github.com/repos/angular/angular/pulls/59941
angular/angular,59937,rysavy-dudrtools,2025-02-13T11:27:36Z,,2025-02-13T14:59:40Z,1,JeanMeche,0.5947222222222223,3.5344444444444445,5,1,https://api.github.com/repos/angular/angular/pulls/59937
angular/angular,59934,rysavy-dudrtools,2025-02-13T10:25:28Z,,2025-02-13T11:27:54Z,1,JeanMeche,0.04694444444444444,1.0405555555555555,5,1,https://api.github.com/repos/angular/angular/pulls/59934
angular/angular,59931,dgp1130,2025-02-12T23:17:21Z,,2025-02-14T16:31:40Z,1,AleksanderBodurri,29.819444444444443,41.23861111111111,6,2,https://api.github.com/repos/angular/angular/pulls/59931
angular/angular,59930,atscott,2025-02-12T20:16:10Z,,2025-02-12T20:19:16Z,1,alan-agius4,0.03277777777777778,0.051666666666666666,22,1,https://api.github.com/repos/angular/angular/pulls/59930
angular/angular,59926,crisbeto,2025-02-12T14:14:24Z,,2025-02-12T17:15:59Z,1,devversion,0.03944444444444444,3.026388888888889,203,7,https://api.github.com/repos/angular/angular/pulls/59926
angular/angular,59925,angular-robot,2025-02-12T12:01:38Z,,2025-02-12T17:19:40Z,1,alan-agius4,0.005833333333333334,5.3005555555555555,8,2,https://api.github.com/repos/angular/angular/pulls/59925
angular/angular,59921,iteriani,2025-02-11T23:35:09Z,,2025-02-13T20:19:31Z,1,thePunderWoman,43.26583333333333,44.739444444444445,168,5,https://api.github.com/repos/angular/angular/pulls/59921
angular/angular,59917,moebarox,2025-02-11T15:40:41Z,,2025-02-12T17:20:36Z,1,JeanMeche,0.01611111111111111,25.665277777777778,2,1,https://api.github.com/repos/angular/angular/pulls/59917
angular/angular,59914,angular-robot,2025-02-11T11:14:21Z,,2025-02-13T14:56:48Z,1,devversion,49.0325,51.7075,2,1,https://api.github.com/repos/angular/angular/pulls/59914
angular/angular,59911,Bobokhuja,2025-02-11T04:25:14Z,,2025-02-12T17:46:55Z,1,JeanMeche,2.7280555555555557,37.36138888888889,8,1,https://api.github.com/repos/angular/angular/pulls/59911
angular/angular,59908,JeanMeche,2025-02-10T18:45:25Z,,2025-02-12T17:21:54Z,2,"josephperrott, josephperrott",0.12583333333333332,46.60805555555555,4,2,https://api.github.com/repos/angular/angular/pulls/59908
