repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,response_time_hours,review_time_hours,lines_of_code,changed_files,url
facebook/react,32400,michaelfaith,2025-02-16T23:02:47Z,2025-02-17T01:28:13Z,2025-02-17T01:28:13Z,6,"michaelfaith, poteto, michaelfaith, michaelfaith, michaelfaith, michaelfaith",0.29583333333333334,2.423888888888889,123,6,https://api.github.com/repos/facebook/react/pulls/32400
facebook/react,32397,michaelfaith,2025-02-16T20:14:51Z,2025-02-16T22:00:43Z,2025-02-16T22:00:43Z,3,"poteto, poteto, michaelfaith",1.116111111111111,1.7644444444444445,108,13,https://api.github.com/repos/facebook/react/pulls/32397
facebook/react,32393,michaelfaith,2025-02-15T20:29:39Z,2025-02-16T15:38:13Z,2025-02-16T15:38:13Z,4,"poteto, poteto, michaelfaith, poteto",7.013055555555556,19.142777777777777,610,9,https://api.github.com/repos/facebook/react/pulls/32393
facebook/react,32382,coado,2025-02-14T13:37:27Z,2025-02-14T14:10:37Z,2025-02-14T14:10:37Z,2,"huntie, hoxyq",0.44972222222222225,0.5527777777777778,25,1,https://api.github.com/repos/facebook/react/pulls/32382
facebook/react,32373,sebmarkbage,2025-02-13T01:22:59Z,2025-02-13T21:06:01Z,2025-02-13T21:06:01Z,1,acdlite,19.55611111111111,19.717222222222222,715,26,https://api.github.com/repos/facebook/react/pulls/32373
facebook/react,32372,franky47,2025-02-12T21:25:26Z,2025-02-13T12:02:55Z,2025-02-13T12:02:55Z,1,hoxyq,14.623055555555556,14.624722222222223,11,2,https://api.github.com/repos/facebook/react/pulls/32372
facebook/react,32368,poteto,2025-02-12T16:54:38Z,2025-02-12T16:59:56Z,2025-02-12T16:59:56Z,1,josephsavona,0.03222222222222222,0.08833333333333333,316,2,https://api.github.com/repos/facebook/react/pulls/32368
facebook/react,32363,rubennorte,2025-02-12T11:35:31Z,2025-02-12T13:52:57Z,2025-02-12T13:52:57Z,4,"javache, rubennorte, javache, rubennorte",1.3233333333333333,2.2905555555555557,80,10,https://api.github.com/repos/facebook/react/pulls/32363
facebook/react,32358,poteto,2025-02-11T18:19:22Z,,2025-02-11T18:19:32Z,1,github-actions[bot],0.002777777777777778,0.002777777777777778,2,1,https://api.github.com/repos/facebook/react/pulls/32358
facebook/react,32357,poteto,2025-02-11T18:07:47Z,2025-02-11T18:09:38Z,2025-02-11T18:09:38Z,2,"github-actions[bot], github-actions[bot]",0.0038888888888888888,0.030833333333333334,37,1,https://api.github.com/repos/facebook/react/pulls/32357
facebook/react,32355,JoshuaKGoldberg,2025-02-11T13:06:02Z,2025-02-11T22:01:04Z,2025-02-11T22:01:04Z,1,poteto,6.9591666666666665,8.917222222222222,24,1,https://api.github.com/repos/facebook/react/pulls/32355
facebook/react,32353,eps1lon,2025-02-11T11:53:46Z,2025-02-13T17:09:49Z,2025-02-13T17:09:49Z,2,"youneshenniwrites, sebmarkbage",30.921388888888888,53.2675,15,2,https://api.github.com/repos/facebook/react/pulls/32353
facebook/react,32344,unstubbable,2025-02-09T21:37:12Z,2025-02-09T22:55:50Z,2025-02-09T22:55:50Z,1,rickhanlonii,1.3086111111111112,1.3105555555555555,2,1,https://api.github.com/repos/facebook/react/pulls/32344
facebook/react,32342,sebmarkbage,2025-02-09T03:41:40Z,2025-02-09T20:01:28Z,2025-02-09T20:01:28Z,1,eps1lon,7.5325,16.33,4,2,https://api.github.com/repos/facebook/react/pulls/32342
facebook/react,32331,poteto,2025-02-07T20:42:17Z,2025-02-07T21:04:46Z,2025-02-07T21:04:46Z,1,josephsavona,0.14472222222222222,0.37472222222222223,97,2,https://api.github.com/repos/facebook/react/pulls/32331
facebook/react,32321,gnoff,2025-02-06T21:16:01Z,2025-02-06T22:30:41Z,2025-02-06T22:30:41Z,1,eps1lon,0.7513888888888889,1.2444444444444445,9,1,https://api.github.com/repos/facebook/react/pulls/32321
facebook/react,32318,jackpope,2025-02-06T20:41:18Z,2025-02-07T16:12:29Z,2025-02-07T16:12:29Z,1,kassens,19.09111111111111,19.51972222222222,26,9,https://api.github.com/repos/facebook/react/pulls/32318
facebook/react,32311,rickhanlonii,2025-02-05T22:41:44Z,2025-02-05T23:31:32Z,2025-02-05T23:31:32Z,1,jackpope,0.2477777777777778,0.83,1,1,https://api.github.com/repos/facebook/react/pulls/32311
facebook/react,32306,jackpope,2025-02-04T19:00:52Z,2025-02-04T20:53:03Z,2025-02-04T20:53:03Z,1,rickhanlonii,1.8344444444444445,1.8697222222222223,4,3,https://api.github.com/repos/facebook/react/pulls/32306
facebook/react,32303,poteto,2025-02-03T16:59:52Z,2025-02-03T17:57:52Z,2025-02-03T17:57:52Z,1,rickhanlonii,1.1275,0.9666666666666667,4,2,https://api.github.com/repos/facebook/react/pulls/32303
