repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,response_time_hours,review_time_hours,lines_of_code,changed_files,url
golang/go,71431,diegolara93,2025-01-24T22:55:11Z,,2025-02-03T16:59:58Z,2,"brkunver, Sec32fun32",69.80194444444444,234.07972222222222,5,1,https://api.github.com/repos/golang/go/pulls/71431
golang/go,70904,mauri870,2024-12-18T15:37:01Z,,2024-12-18T23:09:50Z,1,Roxyfundz1,0.11361111111111111,7.546944444444445,2,1,https://api.github.com/repos/golang/go/pulls/70904
golang/go,70391,bernoussama,2024-11-16T12:23:56Z,,2024-12-18T10:08:03Z,1,IamNator,765.5033333333333,765.7352777777778,12,2,https://api.github.com/repos/golang/go/pulls/70391
golang/go,70166,akmittal,2024-11-02T06:03:44Z,,2025-02-13T18:42:28Z,1,maxwelbm,617.2352777777778,2484.6455555555553,1,1,https://api.github.com/repos/golang/go/pulls/70166
golang/go,69984,callthingsoff,2024-10-22T14:43:57Z,,2024-10-23T15:26:46Z,1,Hadihoseinnejad1992,22.198333333333334,24.71361111111111,4,1,https://api.github.com/repos/golang/go/pulls/69984
golang/go,69622,callthingsoff,2024-09-25T12:17:17Z,,2024-10-02T14:31:38Z,2,"ifteneiftene, lawchingman",99.42583333333333,170.23916666666668,252,3,https://api.github.com/repos/golang/go/pulls/69622
golang/go,69429,callthingsoff,2024-09-12T16:29:45Z,,2024-09-13T21:10:09Z,1,kherldhussein,1.6025,28.673333333333332,6,1,https://api.github.com/repos/golang/go/pulls/69429
golang/go,69427,callthingsoff,2024-09-12T16:24:34Z,,2024-09-13T21:10:07Z,1,kherldhussein,1.708611111111111,28.759166666666665,15,1,https://api.github.com/repos/golang/go/pulls/69427
golang/go,68964,Sajjon,2024-08-20T08:24:27Z,,2024-08-20T21:08:39Z,3,"Sajjon, Zxilly, timothy-king",0.08972222222222222,12.736666666666666,60,23,https://api.github.com/repos/golang/go/pulls/68964
golang/go,68828,narqo,2024-08-10T09:49:12Z,,2024-08-20T15:05:25Z,2,"adam-azarchs, seankhliao",2460.8355555555554,245.27027777777778,92,5,https://api.github.com/repos/golang/go/pulls/68828
