repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,response_time_hours,review_time_hours,lines_of_code,changed_files,url
jenkinsci/jenkins,10281,renovate[bot],2025-02-16T18:50:51Z,2025-02-16T22:39:32Z,2025-02-16T22:39:32Z,1,basil,3.8094444444444444,3.8113888888888887,42,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10281
jenkinsci/jenkins,10280,renovate[bot],2025-02-16T18:50:39Z,2025-02-16T22:39:14Z,2025-02-16T22:39:14Z,1,basil,3.808333333333333,3.8097222222222222,12,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10280
jenkinsci/jenkins,10279,janfaracik,2025-02-16T18:25:19Z,2025-02-16T19:03:55Z,2025-02-16T19:03:55Z,2,"MarkEWaite, NotMyFault",0.31833333333333336,0.6433333333333333,2,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10279
jenkinsci/jenkins,10275,renovate[bot],2025-02-15T17:51:17Z,2025-02-16T08:36:30Z,2025-02-16T08:36:30Z,1,A1exKH,4.893611111111111,14.75361111111111,12,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10275
jenkinsci/jenkins,10274,renovate[bot],2025-02-15T17:51:04Z,2025-02-16T22:42:48Z,2025-02-16T22:42:48Z,2,"A1exKH, basil",4.907222222222222,28.862222222222222,26,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10274
jenkinsci/jenkins,10273,timja,2025-02-15T11:18:55Z,2025-02-16T10:31:42Z,2025-02-16T10:31:42Z,2,"zbynek, MarkEWaite",0.10555555555555556,23.213055555555556,60,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10273
jenkinsci/jenkins,10272,renovate[bot],2025-02-14T18:53:13Z,2025-02-14T22:03:59Z,2025-02-14T22:03:59Z,1,basil,3.1777777777777776,3.1794444444444445,12,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10272
jenkinsci/jenkins,10271,jglick,2025-02-14T15:59:50Z,2025-02-15T16:16:28Z,2025-02-15T16:16:28Z,9,"jglick, mawinter69, MarkEWaite, jglick, mawinter69, mawinter69, jglick, A1exKH, krisstern",0.014722222222222222,24.27722222222222,7,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10271
jenkinsci/jenkins,10269,jglick,2025-02-13T22:21:43Z,2025-02-14T18:51:11Z,2025-02-14T18:51:12Z,1,krisstern,12.086388888888889,20.49111111111111,16,7,https://api.github.com/repos/jenkinsci/jenkins/pulls/10269
jenkinsci/jenkins,10268,renovate[bot],2025-02-13T21:42:03Z,2025-02-14T07:43:07Z,2025-02-14T07:43:07Z,1,A1exKH,1.0477777777777777,10.017777777777777,12,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10268
jenkinsci/jenkins,10267,renovate[bot],2025-02-13T17:52:55Z,2025-02-13T22:41:06Z,2025-02-13T22:41:06Z,1,basil,4.801111111111111,4.803055555555556,2,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10267
jenkinsci/jenkins,10266,renovate[bot],2025-02-13T17:52:49Z,2025-02-13T22:40:07Z,2025-02-13T22:40:07Z,1,basil,4.786666666666667,4.788333333333333,2,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10266
jenkinsci/jenkins,10264,daniel-beck,2025-02-13T13:11:02Z,2025-02-13T19:21:53Z,2025-02-13T19:21:53Z,4,"Vlatombe, daniel-beck, timja, StefanSpieker",0.1325,6.180833333333333,4,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10264
jenkinsci/jenkins,10262,renovate[bot],2025-02-12T12:45:35Z,2025-02-13T23:09:58Z,2025-02-13T23:09:58Z,2,"A1exKH, basil",34.02611111111111,34.40638888888889,71,5,https://api.github.com/repos/jenkinsci/jenkins/pulls/10262
jenkinsci/jenkins,10261,mawinter69,2025-02-12T11:18:38Z,2025-02-13T17:51:19Z,2025-02-13T17:51:19Z,2,"krisstern, MarkEWaite",3.6277777777777778,30.544722222222223,4,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10261
jenkinsci/jenkins,10259,mawinter69,2025-02-11T20:43:18Z,2025-02-13T13:06:13Z,2025-02-13T13:06:13Z,2,"MarkEWaite, Vlatombe",0.93,40.38194444444444,2,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10259
jenkinsci/jenkins,10258,renovate[bot],2025-02-11T18:22:37Z,2025-02-11T22:15:46Z,2025-02-11T22:15:46Z,2,"A1exKH, basil",2.337222222222222,3.8858333333333333,2,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10258
jenkinsci/jenkins,10257,renovate[bot],2025-02-11T12:38:54Z,2025-02-11T16:43:00Z,2025-02-11T16:43:00Z,1,basil,4.065,4.068333333333333,2,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10257
jenkinsci/jenkins,10256,renovate[bot],2025-02-11T12:38:43Z,2025-02-11T16:43:17Z,2025-02-11T16:43:17Z,1,basil,4.070277777777778,4.0761111111111115,160,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10256
jenkinsci/jenkins,10255,renovate[bot],2025-02-10T21:53:01Z,2025-02-11T01:19:55Z,2025-02-11T01:19:55Z,1,basil,3.4466666666666668,3.4483333333333333,37,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10255
jenkinsci/jenkins,10254,renovate[bot],2025-02-10T20:53:27Z,2025-02-11T01:20:23Z,2025-02-11T01:20:23Z,2,"A1exKH, basil",1.7425,4.448888888888889,4,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10254
jenkinsci/jenkins,10253,renovate[bot],2025-02-10T20:53:19Z,2025-02-11T01:20:47Z,2025-02-11T01:20:47Z,1,basil,4.454166666666667,4.457777777777777,2,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10253
jenkinsci/jenkins,10250,renovate[bot],2025-02-09T01:46:44Z,2025-02-09T21:44:39Z,2025-02-09T21:44:39Z,1,A1exKH,19.711944444444445,19.96527777777778,12,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10250
