repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,response_time_hours,review_time_hours,lines_of_code,changed_files,url
obsproject/obs-studio,11854,tytan652,2025-02-11T17:28:26Z,,2025-02-11T19:06:32Z,1,PatTheMav,0.5516666666666666,1.635,149,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11854
obsproject/obs-studio,11843,RytoEX,2025-02-07T21:00:42Z,2025-02-10T17:57:38Z,2025-02-10T17:57:38Z,1,PatTheMav,1.8041666666666667,68.94888888888889,8,4,https://api.github.com/repos/obsproject/obs-studio/pulls/11843
obsproject/obs-studio,11814,pkviet,2025-02-01T14:00:46Z,2025-02-05T16:56:51Z,2025-02-05T16:56:51Z,2,"RytoEX, RytoEX",72.60388888888889,98.93472222222222,24,3,https://api.github.com/repos/obsproject/obs-studio/pulls/11814
obsproject/obs-studio,11805,lexano-ivs,2025-01-31T19:48:43Z,2025-02-14T21:19:13Z,2025-02-14T21:19:14Z,3,"RytoEX, Lain-B, RytoEX",0.14916666666666667,337.5083333333333,7,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11805
obsproject/obs-studio,11804,RytoEX,2025-01-31T19:29:06Z,2025-02-04T14:26:23Z,2025-02-04T14:26:23Z,2,"PatTheMav, WizardCM",18.110833333333332,90.95472222222222,4,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11804
obsproject/obs-studio,11740,luzpaz,2025-01-18T12:45:50Z,,2025-01-18T22:42:54Z,1,gxalpha,0.06138888888888889,9.95111111111111,6,2,https://api.github.com/repos/obsproject/obs-studio/pulls/11740
obsproject/obs-studio,11737,gxalpha,2025-01-17T20:34:24Z,2025-01-27T22:06:18Z,2025-01-27T22:06:18Z,3,"WizardCM, Warchamp7, RytoEX",27.506944444444443,241.53166666666667,1,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11737
obsproject/obs-studio,11736,gxalpha,2025-01-17T19:08:10Z,2025-01-17T19:11:50Z,2025-01-17T19:11:50Z,1,RytoEX,0.059722222222222225,0.06111111111111111,2,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11736
obsproject/obs-studio,11735,PatTheMav,2025-01-17T15:52:32Z,2025-01-17T22:32:20Z,2025-01-17T22:32:20Z,1,RytoEX,6.4430555555555555,6.663333333333333,12,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11735
obsproject/obs-studio,11733,prgmitchell,2025-01-16T23:58:23Z,2025-01-30T18:21:06Z,2025-01-30T18:21:06Z,10,"PatTheMav, WizardCM, RytoEX, prgmitchell, RytoEX, PatTheMav, RytoEX, Warchamp7, Fenrirthviti, RytoEX",16.436666666666667,330.3786111111111,32,2,https://api.github.com/repos/obsproject/obs-studio/pulls/11733
obsproject/obs-studio,11708,dkorkmazturk,2025-01-07T19:26:41Z,2025-02-05T21:20:15Z,2025-02-05T21:20:15Z,11,"kkartaltepe, dkorkmazturk, kkartaltepe, kkartaltepe, GeorgesStavracas, RytoEX, RytoEX, dkorkmazturk, RytoEX, kkartaltepe, RytoEX",99.23027777777777,697.8927777777777,654,17,https://api.github.com/repos/obsproject/obs-studio/pulls/11708
obsproject/obs-studio,11705,Lightlightingstorm,2025-01-06T14:25:19Z,,2025-01-06T14:29:12Z,1,Lightlightingstorm,0.023055555555555555,0.06472222222222222,1,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11705
obsproject/obs-studio,11698,steveseguin,2025-01-03T23:08:35Z,,2025-01-07T21:48:55Z,3,"seaduboi-openai, Sean-Der, Sean-Der",6.246111111111111,94.67222222222222,773,3,https://api.github.com/repos/obsproject/obs-studio/pulls/11698
obsproject/obs-studio,11668,kkartaltepe,2024-12-24T18:35:26Z,2025-01-16T20:43:49Z,2025-01-16T20:43:49Z,3,"PatTheMav, Lain-B, RytoEX",66.43972222222222,554.1397222222222,1,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11668
obsproject/obs-studio,11663,izwb003,2024-12-23T18:31:40Z,2025-01-04T11:23:21Z,2025-01-04T11:23:21Z,2,"PatTheMav, gxalpha",90.58361111111111,280.8613888888889,2,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11663
obsproject/obs-studio,11652,gxalpha,2024-12-20T20:05:43Z,2025-01-16T21:34:00Z,2025-01-16T21:34:00Z,1,PatTheMav,161.11888888888888,649.4713888888889,2,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11652
