repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,response_time_hours,review_time_hours,lines_of_code,changed_files,url
openstreetmap/openstreetmap-website,5696,AntonKhorev,2025-02-17T00:31:03Z,2025-02-17T20:45:31Z,2025-02-17T20:45:31Z,3,"tomhughes, AntonKhorev, tomhughes",8.2675,20.24111111111111,154,25,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5696
openstreetmap/openstreetmap-website,5688,tomhughes,2025-02-16T13:38:55Z,2025-02-16T14:19:45Z,2025-02-16T14:19:45Z,1,gravitystorm,0.27555555555555555,0.6805555555555556,42,3,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5688
openstreetmap/openstreetmap-website,5685,hlfan,2025-02-16T09:23:35Z,2025-02-16T13:22:30Z,2025-02-16T13:22:30Z,3,"tomhughes, hlfan, tomhughes",2.625277777777778,3.9819444444444443,109,6,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5685
openstreetmap/openstreetmap-website,5672,AntonKhorev,2025-02-14T17:17:15Z,2025-02-15T15:53:51Z,2025-02-15T15:53:51Z,5,"tomhughes, AntonKhorev, tomhughes, tomhughes, AntonKhorev",15.536666666666667,22.61,7,3,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5672
openstreetmap/openstreetmap-website,5669,hlfan,2025-02-13T16:05:00Z,2025-02-15T09:12:07Z,2025-02-15T09:12:07Z,11,"tomhughes, hlfan, hlfan, tomhughes, hlfan, hlfan, hlfan, hlfan, hlfan, HolgerJeromin, tomhughes",3.1975,41.118611111111115,176,7,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5669
openstreetmap/openstreetmap-website,5666,AntonKhorev,2025-02-13T01:39:15Z,2025-02-13T22:12:49Z,2025-02-13T22:12:49Z,3,"tomhughes, AntonKhorev, tomhughes",16.41777777777778,20.559444444444445,464,7,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5666
openstreetmap/openstreetmap-website,5662,tomhughes,2025-02-12T19:26:09Z,,2025-02-15T09:13:30Z,3,"HolgerJeromin, tomhughes, HolgerJeromin",2.8230555555555554,61.78916666666667,37,2,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5662
openstreetmap/openstreetmap-website,5661,tyrasd,2025-02-12T13:08:41Z,2025-02-12T18:25:22Z,2025-02-12T18:25:22Z,3,"hlfan, tyrasd, hlfan",1.0027777777777778,5.2780555555555555,2,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5661
openstreetmap/openstreetmap-website,5653,HolgerJeromin,2025-02-11T10:30:23Z,2025-02-11T17:56:48Z,2025-02-11T17:56:48Z,1,hlfan,0.05638888888888889,7.440277777777778,5,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5653
openstreetmap/openstreetmap-website,5650,nenad-vujicic,2025-02-11T09:11:40Z,2025-02-12T18:03:33Z,2025-02-12T18:03:33Z,3,"tomhughes, nenad-vujicic, tomhughes",9.568888888888889,32.86472222222222,30,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5650
