repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,response_time_hours,review_time_hours,lines_of_code,changed_files,url
pytorch/pytorch,147322,annop-w,2025-02-17T13:49:39Z,,2025-02-17T17:10:50Z,1,malfet,0.24083333333333334,3.3530555555555557,423,1,https://api.github.com/repos/pytorch/pytorch/pulls/147322
pytorch/pytorch,147311,Stonepia,2025-02-17T08:00:20Z,,2025-02-17T19:00:56Z,3,"guangyey, guangyey, Skylion007",6.5905555555555555,11.01,3,1,https://api.github.com/repos/pytorch/pytorch/pulls/147311
pytorch/pytorch,147308,pytorchupdatebot,2025-02-17T07:39:52Z,,2025-02-17T12:03:43Z,1,pytorchbot,0.0019444444444444444,4.3975,577,1,https://api.github.com/repos/pytorch/pytorch/pulls/147308
pytorch/pytorch,147299,malfet,2025-02-17T02:37:49Z,,2025-02-17T08:31:28Z,1,dcci,2.7180555555555554,5.894166666666667,184,5,https://api.github.com/repos/pytorch/pytorch/pulls/147299
pytorch/pytorch,147298,leslie-fang-intel,2025-02-17T02:19:19Z,,2025-02-17T07:11:22Z,2,"jgong5, leslie-fang-intel",0.4552777777777778,4.8675,19,2,https://api.github.com/repos/pytorch/pytorch/pulls/147298
pytorch/pytorch,147297,malfet,2025-02-17T02:17:57Z,,2025-02-17T07:34:38Z,1,dcci,2.4055555555555554,5.2780555555555555,29,1,https://api.github.com/repos/pytorch/pytorch/pulls/147297
pytorch/pytorch,147296,malfet,2025-02-17T02:17:48Z,,2025-02-17T07:34:37Z,1,dcci,2.543888888888889,5.280277777777778,44,2,https://api.github.com/repos/pytorch/pytorch/pulls/147296
pytorch/pytorch,147294,pytorchupdatebot,2025-02-17T00:25:52Z,,2025-02-17T05:03:07Z,1,pytorchbot,0.0002777777777777778,4.620833333333334,2,1,https://api.github.com/repos/pytorch/pytorch/pulls/147294
pytorch/pytorch,147292,stepanhruda,2025-02-16T21:10:44Z,,2025-02-17T18:47:26Z,1,Skylion007,0.2833333333333333,21.611666666666668,1,1,https://api.github.com/repos/pytorch/pytorch/pulls/147292
pytorch/pytorch,147290,Skylion007,2025-02-16T16:37:57Z,,2025-02-16T22:41:19Z,1,jansel,1.2325,6.056111111111111,57,15,https://api.github.com/repos/pytorch/pytorch/pulls/147290
pytorch/pytorch,147286,malfet,2025-02-16T11:16:37Z,,2025-02-16T17:22:51Z,1,Skylion007,3.6380555555555554,6.103888888888889,66,4,https://api.github.com/repos/pytorch/pytorch/pulls/147286
pytorch/pytorch,147273,pytorchupdatebot,2025-02-16T00:25:47Z,,2025-02-16T05:11:35Z,1,pytorchbot,0.0002777777777777778,4.763333333333334,2,1,https://api.github.com/repos/pytorch/pytorch/pulls/147273
pytorch/pytorch,147266,malfet,2025-02-15T20:13:58Z,,2025-02-16T23:17:15Z,1,Skylion007,22.7175,27.05472222222222,45,4,https://api.github.com/repos/pytorch/pytorch/pulls/147266
pytorch/pytorch,147252,seemethere,2025-02-15T03:10:41Z,,2025-02-15T15:19:11Z,3,"huydhn, Skylion007, malfet",3.1008333333333336,12.141666666666667,2,1,https://api.github.com/repos/pytorch/pytorch/pulls/147252
pytorch/pytorch,147249,blaine-rister,2025-02-15T01:54:53Z,,2025-02-15T23:28:38Z,1,jansel,6.529722222222222,21.5625,33,2,https://api.github.com/repos/pytorch/pytorch/pulls/147249
pytorch/pytorch,147241,pytorchupdatebot,2025-02-15T00:23:07Z,,2025-02-15T05:02:25Z,1,pytorchbot,0.0002777777777777778,4.655,2,1,https://api.github.com/repos/pytorch/pytorch/pulls/147241
pytorch/pytorch,147233,jansel,2025-02-14T22:57:53Z,,2025-02-15T08:25:44Z,1,yanboliang,8.674166666666666,9.464166666666667,23,2,https://api.github.com/repos/pytorch/pytorch/pulls/147233
pytorch/pytorch,147227,ydwu4,2025-02-14T20:57:24Z,,2025-02-15T00:53:46Z,1,zou3519,0.14027777777777778,3.9394444444444443,4,1,https://api.github.com/repos/pytorch/pytorch/pulls/147227
pytorch/pytorch,147221,amdfaa,2025-02-14T20:48:22Z,,2025-02-17T19:29:29Z,2,"pruthvistony, huydhn",66.77472222222222,70.68527777777778,25,1,https://api.github.com/repos/pytorch/pytorch/pulls/147221
pytorch/pytorch,147217,anijain2305,2025-02-14T20:00:19Z,,2025-02-15T07:59:36Z,1,williamwen42,5.903611111111111,11.988055555555556,169,8,https://api.github.com/repos/pytorch/pytorch/pulls/147217
pytorch/pytorch,147211,malfet,2025-02-14T17:26:58Z,,2025-02-16T10:15:55Z,5,"jansel, Skylion007, Skylion007, malfet, dcci",15.005,40.81583333333333,54,2,https://api.github.com/repos/pytorch/pytorch/pulls/147211
pytorch/pytorch,147207,danzimm,2025-02-14T16:23:56Z,,2025-02-14T20:30:51Z,1,PaulZhang12,0.03805555555555556,4.115277777777778,4,1,https://api.github.com/repos/pytorch/pytorch/pulls/147207
pytorch/pytorch,147202,desertfire,2025-02-14T14:29:27Z,,2025-02-14T21:02:33Z,1,yushangdi,2.937222222222222,6.551666666666667,117,2,https://api.github.com/repos/pytorch/pytorch/pulls/147202
pytorch/pytorch,147199,leslie-fang-intel,2025-02-14T10:01:17Z,,2025-02-15T08:31:08Z,1,jansel,22.35333333333333,22.4975,13,1,https://api.github.com/repos/pytorch/pytorch/pulls/147199
pytorch/pytorch,147195,briancoutinho,2025-02-14T08:23:40Z,,2025-02-15T01:53:18Z,3,"cyyever, davidberard98, sraikund16",0.06583333333333333,17.49388888888889,2,1,https://api.github.com/repos/pytorch/pytorch/pulls/147195
pytorch/pytorch,147189,coufon,2025-02-14T06:46:01Z,,2025-02-16T22:16:05Z,1,hanyilou123,15.630833333333333,63.50111111111111,21,1,https://api.github.com/repos/pytorch/pytorch/pulls/147189
pytorch/pytorch,147184,malfet,2025-02-14T04:58:01Z,,2025-02-14T06:25:40Z,1,dcci,0.4122222222222222,1.4608333333333334,30,2,https://api.github.com/repos/pytorch/pytorch/pulls/147184
pytorch/pytorch,147183,malfet,2025-02-14T04:57:58Z,,2025-02-14T06:25:39Z,1,dcci,0.3913888888888889,1.4613888888888888,47,2,https://api.github.com/repos/pytorch/pytorch/pulls/147183
pytorch/pytorch,147182,malfet,2025-02-14T04:57:54Z,,2025-02-14T06:25:38Z,1,dcci,0.3836111111111111,1.4622222222222223,16,1,https://api.github.com/repos/pytorch/pytorch/pulls/147182
pytorch/pytorch,147181,cyyever,2025-02-14T04:42:38Z,,2025-02-15T06:43:28Z,1,albanD,15.054166666666667,26.01388888888889,36,3,https://api.github.com/repos/pytorch/pytorch/pulls/147181
