repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,reviewers,url
kubernetes/kubernetes,130204,aroradaman,2025-02-16T18:41:09Z,2025-02-16T23:14:21Z,2025-02-16T23:14:21Z,1,0.7425,4.553333333333334,18,2,aojea,https://api.github.com/repos/kubernetes/kubernetes/pulls/130204
kubernetes/kubernetes,130200,aroradaman,2025-02-16T08:24:34Z,2025-02-16T11:50:22Z,2025-02-16T11:50:22Z,0,,3.43,17,2,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130200
kubernetes/kubernetes,130198,MayureshMore,2025-02-15T21:26:39Z,,2025-02-15T21:32:23Z,0,,0.09555555555555556,2,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130198
kubernetes/kubernetes,130193,kei01234kei,2025-02-15T08:54:49Z,2025-02-17T12:08:29Z,2025-02-17T12:08:29Z,0,,51.227777777777774,4,2,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130193
kubernetes/kubernetes,130178,bart0sh,2025-02-14T18:34:25Z,2025-02-17T10:08:33Z,2025-02-17T10:08:33Z,3,19.169444444444444,63.568888888888885,6,1,"bart0sh, aojea",https://api.github.com/repos/kubernetes/kubernetes/pulls/130178
kubernetes/kubernetes,130176,liggitt,2025-02-14T18:03:04Z,2025-02-14T20:22:22Z,2025-02-14T20:22:22Z,0,,2.3216666666666668,44,9,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130176
kubernetes/kubernetes,130175,liggitt,2025-02-14T18:00:28Z,2025-02-15T01:24:21Z,2025-02-15T01:24:21Z,1,7.366666666666666,7.398055555555556,46,10,puerco,https://api.github.com/repos/kubernetes/kubernetes/pulls/130175
kubernetes/kubernetes,130174,liggitt,2025-02-14T17:57:58Z,2025-02-15T01:24:21Z,2025-02-15T01:24:21Z,1,7.4061111111111115,7.439722222222223,44,9,puerco,https://api.github.com/repos/kubernetes/kubernetes/pulls/130174
kubernetes/kubernetes,130173,liggitt,2025-02-14T17:54:31Z,2025-02-15T01:22:21Z,2025-02-15T01:22:21Z,1,7.445277777777778,7.463888888888889,44,9,puerco,https://api.github.com/repos/kubernetes/kubernetes/pulls/130173
kubernetes/kubernetes,130171,liggitt,2025-02-14T17:10:24Z,2025-02-15T01:26:21Z,2025-02-15T01:26:21Z,7,0.4633333333333333,8.265833333333333,133,15,"puerco, BenTheElder, liggitt",https://api.github.com/repos/kubernetes/kubernetes/pulls/130171
kubernetes/kubernetes,130167,DamianSawicki,2025-02-14T13:21:35Z,,2025-02-14T14:01:19Z,0,,0.6622222222222223,2,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130167
kubernetes/kubernetes,130164,mimowo,2025-02-14T11:37:48Z,2025-02-14T12:52:21Z,2025-02-14T12:52:21Z,1,0.29194444444444445,1.2425,8,1,soltysh,https://api.github.com/repos/kubernetes/kubernetes/pulls/130164
kubernetes/kubernetes,130151,marosset,2025-02-13T21:11:36Z,2025-02-14T21:44:21Z,2025-02-14T21:44:21Z,6,0.1225,24.545833333333334,66,5,"liggitt, marosset",https://api.github.com/repos/kubernetes/kubernetes/pulls/130151
kubernetes/kubernetes,130144,Jefftree,2025-02-13T15:44:01Z,,2025-02-13T16:31:49Z,2,0.26916666666666667,0.7966666666666666,4,2,"gjkim42, Jefftree",https://api.github.com/repos/kubernetes/kubernetes/pulls/130144
kubernetes/kubernetes,130143,saschagrunert,2025-02-13T14:34:56Z,2025-02-14T14:08:22Z,2025-02-14T14:08:22Z,0,,23.557222222222222,8,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130143
kubernetes/kubernetes,130141,pohly,2025-02-13T13:52:53Z,2025-02-15T05:46:21Z,2025-02-15T05:46:21Z,3,28.967222222222222,39.89111111111111,65,1,"pohly, bart0sh",https://api.github.com/repos/kubernetes/kubernetes/pulls/130141
kubernetes/kubernetes,130140,mimowo,2025-02-13T13:26:09Z,,2025-02-14T11:38:00Z,0,,22.1975,133,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130140
kubernetes/kubernetes,130137,vrutkovs,2025-02-13T11:58:12Z,,2025-02-14T18:42:10Z,0,,30.732777777777777,14,2,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130137
kubernetes/kubernetes,130134,besher-massri,2025-02-13T10:28:58Z,,2025-02-13T12:27:46Z,0,,1.98,5,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/130134
kubernetes/kubernetes,130127,carlory,2025-02-13T03:59:20Z,2025-02-13T08:12:21Z,2025-02-13T08:12:21Z,1,2.948611111111111,4.216944444444445,4,1,pohly,https://api.github.com/repos/kubernetes/kubernetes/pulls/130127
