repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,reviewers,url
mattermost/mattermost-server,30238,agnivade,2025-02-17T07:14:03Z,2025-02-17T14:23:16Z,2025-02-17T14:23:17Z,1,0.23972222222222223,7.153611111111111,236,7,amyblais,https://api.github.com/repos/mattermost/mattermost/pulls/30238
mattermost/mattermost-server,30237,mattermost-build,2025-02-17T06:56:03Z,,2025-02-17T08:23:20Z,0,,1.4547222222222222,209,5,,https://api.github.com/repos/mattermost/mattermost/pulls/30237
mattermost/mattermost-server,30236,mattermost-build,2025-02-17T06:55:51Z,,2025-02-17T08:23:23Z,0,,1.458888888888889,209,5,,https://api.github.com/repos/mattermost/mattermost/pulls/30236
mattermost/mattermost-server,30235,mattermost-build,2025-02-17T06:55:41Z,,2025-02-17T08:23:25Z,0,,1.4622222222222223,209,5,,https://api.github.com/repos/mattermost/mattermost/pulls/30235
mattermost/mattermost-server,30234,mattermost-build,2025-02-17T06:55:30Z,2025-02-17T07:50:09Z,2025-02-17T07:50:09Z,1,0.006388888888888889,0.9108333333333334,209,5,amyblais,https://api.github.com/repos/mattermost/mattermost/pulls/30234
mattermost/mattermost-server,30228,calebroseland,2025-02-14T21:46:36Z,2025-02-17T08:20:09Z,2025-02-17T08:20:09Z,1,58.05166666666667,58.55916666666667,220,4,amyblais,https://api.github.com/repos/mattermost/mattermost/pulls/30228
mattermost/mattermost-server,30226,calebroseland,2025-02-14T21:23:32Z,2025-02-17T07:20:09Z,2025-02-17T07:20:09Z,1,57.60777777777778,57.94361111111111,220,4,amyblais,https://api.github.com/repos/mattermost/mattermost/pulls/30226
mattermost/mattermost-server,30224,agnivade,2025-02-14T20:29:47Z,2025-02-17T14:09:40Z,2025-02-17T14:09:40Z,3,0.07944444444444444,65.66472222222222,35,3,"cpoile, DHaussermann, agarciamontoro",https://api.github.com/repos/mattermost/mattermost/pulls/30224
mattermost/mattermost-server,30220,agnivade,2025-02-14T08:35:30Z,2025-02-14T09:50:09Z,2025-02-14T09:50:09Z,1,0.06138888888888889,1.2441666666666666,547,5,amyblais,https://api.github.com/repos/mattermost/mattermost/pulls/30220
mattermost/mattermost-server,30219,ayush-chauhan233,2025-02-14T08:30:07Z,2025-02-17T00:36:39Z,2025-02-17T00:36:39Z,3,13.330555555555556,64.10888888888888,2,2,"M-ZubairAhmed, yasserfaraazkhan, hmhealey",https://api.github.com/repos/mattermost/mattermost/pulls/30219
mattermost/mattermost-server,30218,mattermost-build,2025-02-14T07:18:50Z,2025-02-14T08:20:13Z,2025-02-14T08:20:13Z,1,0.6355555555555555,1.0230555555555556,214,8,amyblais,https://api.github.com/repos/mattermost/mattermost/pulls/30218
mattermost/mattermost-server,30217,mattermost-build,2025-02-14T07:18:38Z,,2025-02-14T07:57:33Z,1,0.011944444444444445,0.6486111111111111,214,8,amyblais,https://api.github.com/repos/mattermost/mattermost/pulls/30217
mattermost/mattermost-server,30216,mattermost-build,2025-02-14T07:18:20Z,2025-02-14T08:20:10Z,2025-02-14T08:20:10Z,1,0.7030555555555555,1.0305555555555554,547,5,amyblais,https://api.github.com/repos/mattermost/mattermost/pulls/30216
mattermost/mattermost-server,30215,mattermost-build,2025-02-14T07:18:00Z,2025-02-14T08:27:29Z,2025-02-14T08:27:29Z,1,0.7066666666666667,1.1580555555555556,547,5,amyblais,https://api.github.com/repos/mattermost/mattermost/pulls/30215
mattermost/mattermost-server,30212,mattermost-build,2025-02-14T03:49:46Z,2025-02-14T07:50:09Z,2025-02-14T07:50:09Z,1,3.4722222222222223,4.006388888888889,547,5,amyblais,https://api.github.com/repos/mattermost/mattermost/pulls/30212
