repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,reviewers,url
microsoft/vscode,240999,miwelc,2025-02-17T12:05:19Z,,2025-02-17T12:07:32Z,0,,0.036944444444444446,176,11,,https://api.github.com/repos/microsoft/vscode/pulls/240999
microsoft/vscode,240998,lszomoru,2025-02-17T11:26:51Z,2025-02-17T11:52:34Z,2025-02-17T11:52:34Z,1,0.16805555555555557,0.4286111111111111,15,1,chrmarti,https://api.github.com/repos/microsoft/vscode/pulls/240998
microsoft/vscode,240991,lszomoru,2025-02-17T10:30:19Z,2025-02-17T10:58:13Z,2025-02-17T10:58:13Z,2,0.043611111111111114,0.465,4,1,"DonJayamanne, bpasero",https://api.github.com/repos/microsoft/vscode/pulls/240991
microsoft/vscode,240990,bpasero,2025-02-17T10:26:51Z,2025-02-17T11:05:13Z,2025-02-17T11:05:13Z,1,0.06388888888888888,0.6394444444444445,2,2,DonJayamanne,https://api.github.com/repos/microsoft/vscode/pulls/240990
microsoft/vscode,240989,alexr00,2025-02-17T10:23:37Z,2025-02-17T11:02:47Z,2025-02-17T11:02:47Z,1,0.04694444444444444,0.6527777777777778,4,1,bpasero,https://api.github.com/repos/microsoft/vscode/pulls/240989
microsoft/vscode,240988,dependabot[bot],2025-02-17T10:21:25Z,2025-02-17T10:59:26Z,2025-02-17T10:59:26Z,1,0.021388888888888888,0.6336111111111111,37,1,joaomoreno,https://api.github.com/repos/microsoft/vscode/pulls/240988
microsoft/vscode,240986,benibenj,2025-02-17T10:12:32Z,2025-02-17T10:38:16Z,2025-02-17T10:38:16Z,2,0.1425,0.4288888888888889,69,6,"lszomoru, bpasero",https://api.github.com/repos/microsoft/vscode/pulls/240986
microsoft/vscode,240985,alexr00,2025-02-17T10:03:40Z,2025-02-17T10:29:30Z,2025-02-17T10:29:30Z,1,0.03777777777777778,0.4305555555555556,2,1,lszomoru,https://api.github.com/repos/microsoft/vscode/pulls/240985
microsoft/vscode,240983,alexr00,2025-02-17T09:47:11Z,2025-02-17T10:22:24Z,2025-02-17T10:22:24Z,2,0.07138888888888889,0.5869444444444445,209,12,lszomoru,https://api.github.com/repos/microsoft/vscode/pulls/240983
microsoft/vscode,240981,lszomoru,2025-02-17T09:25:10Z,2025-02-17T10:02:39Z,2025-02-17T10:02:40Z,1,0.6244444444444445,0.6247222222222222,6,1,alexr00,https://api.github.com/repos/microsoft/vscode/pulls/240981
microsoft/vscode,240973,dependabot[bot],2025-02-17T04:21:39Z,2025-02-17T10:31:28Z,2025-02-17T10:31:28Z,1,5.937222222222222,6.163611111111111,23,2,joaomoreno,https://api.github.com/repos/microsoft/vscode/pulls/240973
microsoft/vscode,240972,roblourens,2025-02-17T03:56:21Z,2025-02-17T07:50:34Z,2025-02-17T07:50:34Z,1,3.9030555555555555,3.903611111111111,5,1,dbaeumer,https://api.github.com/repos/microsoft/vscode/pulls/240972
microsoft/vscode,240967,roblourens,2025-02-17T00:55:09Z,2025-02-17T07:48:59Z,2025-02-17T07:49:00Z,1,6.8966666666666665,6.897222222222222,3,1,dbaeumer,https://api.github.com/repos/microsoft/vscode/pulls/240967
microsoft/vscode,240963,benibenj,2025-02-16T22:02:52Z,2025-02-17T07:48:19Z,2025-02-17T07:48:19Z,1,9.747222222222222,9.7575,439,3,dbaeumer,https://api.github.com/repos/microsoft/vscode/pulls/240963
