repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,reviewers,url
obsproject/obs-studio,11867,el986,2025-02-15T13:10:34Z,,2025-02-15T13:39:59Z,0,,0.49027777777777776,1,1,,https://api.github.com/repos/obsproject/obs-studio/pulls/11867
obsproject/obs-studio,11855,aidanharris,2025-02-12T04:24:08Z,,2025-02-12T04:25:07Z,0,,0.01638888888888889,6,3,,https://api.github.com/repos/obsproject/obs-studio/pulls/11855
obsproject/obs-studio,11854,tytan652,2025-02-11T17:28:26Z,,2025-02-11T19:06:32Z,1,0.5516666666666666,1.635,149,1,PatTheMav,https://api.github.com/repos/obsproject/obs-studio/pulls/11854
obsproject/obs-studio,11843,RytoEX,2025-02-07T21:00:42Z,2025-02-10T17:57:38Z,2025-02-10T17:57:38Z,1,1.8041666666666667,68.94888888888889,8,4,PatTheMav,https://api.github.com/repos/obsproject/obs-studio/pulls/11843
obsproject/obs-studio,11840,Likhithsai2580,2025-02-07T05:36:54Z,,2025-02-08T19:38:21Z,0,,38.024166666666666,21,2,,https://api.github.com/repos/obsproject/obs-studio/pulls/11840
obsproject/obs-studio,11837,filoozom,2025-02-06T21:08:25Z,,2025-02-07T18:07:29Z,0,,20.984444444444446,33,2,,https://api.github.com/repos/obsproject/obs-studio/pulls/11837
obsproject/obs-studio,11828,wanhongqing123,2025-02-05T02:06:57Z,,2025-02-05T03:08:34Z,0,,1.0269444444444444,3241,19,,https://api.github.com/repos/obsproject/obs-studio/pulls/11828
obsproject/obs-studio,11814,pkviet,2025-02-01T14:00:46Z,2025-02-05T16:56:51Z,2025-02-05T16:56:51Z,2,72.60388888888889,98.93472222222222,24,3,RytoEX,https://api.github.com/repos/obsproject/obs-studio/pulls/11814
obsproject/obs-studio,11806,RytoEX,2025-01-31T20:18:01Z,2025-01-31T22:25:33Z,2025-01-31T22:25:33Z,0,,2.1255555555555556,12,2,,https://api.github.com/repos/obsproject/obs-studio/pulls/11806
obsproject/obs-studio,11805,lexano-ivs,2025-01-31T19:48:43Z,2025-02-14T21:19:13Z,2025-02-14T21:19:14Z,3,0.14916666666666667,337.5083333333333,7,1,"RytoEX, Lain-B",https://api.github.com/repos/obsproject/obs-studio/pulls/11805
obsproject/obs-studio,11804,RytoEX,2025-01-31T19:29:06Z,2025-02-04T14:26:23Z,2025-02-04T14:26:23Z,2,18.110833333333332,90.95472222222222,4,1,"WizardCM, PatTheMav",https://api.github.com/repos/obsproject/obs-studio/pulls/11804
obsproject/obs-studio,11790,akaday,2025-01-29T19:39:15Z,,2025-01-29T19:39:51Z,0,,0.01,28,1,,https://api.github.com/repos/obsproject/obs-studio/pulls/11790
obsproject/obs-studio,11789,akaday,2025-01-29T19:27:06Z,,2025-01-29T19:29:52Z,0,,0.04611111111111111,13,30,,https://api.github.com/repos/obsproject/obs-studio/pulls/11789
obsproject/obs-studio,11756,scottsdevelopment,2025-01-21T00:23:57Z,,2025-01-21T00:36:03Z,0,,0.20166666666666666,141,3,,https://api.github.com/repos/obsproject/obs-studio/pulls/11756
obsproject/obs-studio,11740,luzpaz,2025-01-18T12:45:50Z,,2025-01-18T22:42:54Z,1,0.06138888888888889,9.95111111111111,6,2,gxalpha,https://api.github.com/repos/obsproject/obs-studio/pulls/11740
obsproject/obs-studio,11738,RytoEX,2025-01-17T23:05:28Z,2025-01-17T23:40:54Z,2025-01-17T23:40:54Z,0,,0.5905555555555555,2,1,,https://api.github.com/repos/obsproject/obs-studio/pulls/11738
obsproject/obs-studio,11737,gxalpha,2025-01-17T20:34:24Z,2025-01-27T22:06:18Z,2025-01-27T22:06:18Z,3,27.506944444444443,241.53166666666667,1,1,"Warchamp7, RytoEX, WizardCM",https://api.github.com/repos/obsproject/obs-studio/pulls/11737
obsproject/obs-studio,11736,gxalpha,2025-01-17T19:08:10Z,2025-01-17T19:11:50Z,2025-01-17T19:11:50Z,1,0.059722222222222225,0.06111111111111111,2,1,RytoEX,https://api.github.com/repos/obsproject/obs-studio/pulls/11736
obsproject/obs-studio,11735,PatTheMav,2025-01-17T15:52:32Z,2025-01-17T22:32:20Z,2025-01-17T22:32:20Z,1,6.4430555555555555,6.663333333333333,12,1,RytoEX,https://api.github.com/repos/obsproject/obs-studio/pulls/11735
obsproject/obs-studio,11733,prgmitchell,2025-01-16T23:58:23Z,2025-01-30T18:21:06Z,2025-01-30T18:21:06Z,10,16.436666666666667,330.3786111111111,32,2,"Warchamp7, PatTheMav, Fenrirthviti, prgmitchell, RytoEX, WizardCM",https://api.github.com/repos/obsproject/obs-studio/pulls/11733
obsproject/obs-studio,11725,luzpaz,2025-01-15T15:15:06Z,,2025-01-18T17:34:20Z,0,,74.32055555555556,6,3,,https://api.github.com/repos/obsproject/obs-studio/pulls/11725
obsproject/obs-studio,11709,tiagoFlach,2025-01-07T19:27:20Z,,2025-01-07T19:32:56Z,0,,0.09333333333333334,4,2,,https://api.github.com/repos/obsproject/obs-studio/pulls/11709
obsproject/obs-studio,11708,dkorkmazturk,2025-01-07T19:26:41Z,2025-02-05T21:20:15Z,2025-02-05T21:20:15Z,11,99.23027777777777,697.8927777777777,654,17,"GeorgesStavracas, dkorkmazturk, kkartaltepe, RytoEX",https://api.github.com/repos/obsproject/obs-studio/pulls/11708
obsproject/obs-studio,11705,Lightlightingstorm,2025-01-06T14:25:19Z,,2025-01-06T14:29:12Z,1,0.023055555555555555,0.06472222222222222,1,1,Lightlightingstorm,https://api.github.com/repos/obsproject/obs-studio/pulls/11705
obsproject/obs-studio,11698,steveseguin,2025-01-03T23:08:35Z,,2025-01-07T21:48:55Z,3,6.246111111111111,94.67222222222222,773,3,"Sean-Der, seaduboi-openai",https://api.github.com/repos/obsproject/obs-studio/pulls/11698
obsproject/obs-studio,11685,walker-WSH,2024-12-31T15:24:13Z,,2025-01-01T00:53:59Z,0,,9.49611111111111,15,3,,https://api.github.com/repos/obsproject/obs-studio/pulls/11685
