repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,reviewer_response_times,response_time_hours,review_time_hours,lines_of_code,changed_files,url
Homebrew/brew,19019,BrewTestBot,2024-12-31T00:25:08Z,2024-12-31T01:44:38Z,2024-12-31T01:44:38Z,1,ZhongRuoyu,0.94,0.9386111111111111,1.325,8,2,https://api.github.com/repos/Homebrew/brew/pulls/19019
Homebrew/brew,19018,BrewTestBot,2024-12-31T00:15:13Z,2024-12-31T01:43:35Z,2024-12-31T01:43:35Z,1,ZhongRuoyu,1.10,1.1030555555555555,1.4727777777777777,2006,2,https://api.github.com/repos/Homebrew/brew/pulls/19018
Homebrew/brew,19017,BrewTestBot,2024-12-30T16:14:36Z,2024-12-30T20:01:37Z,2024-12-30T20:01:37Z,1,MikeMcQuaid,3.61,3.6066666666666665,3.783611111111111,21,5,https://api.github.com/repos/Homebrew/brew/pulls/19017
Homebrew/brew,19015,issyl0,2024-12-28T22:42:40Z,2024-12-30T12:51:46Z,2024-12-30T12:51:46Z,3,"p-linnane, ZhongRuoyu, MikeMcQuaid","2.37, 0.35, 35.21",2.368333333333333,38.151666666666664,5,1,https://api.github.com/repos/Homebrew/brew/pulls/19015
Homebrew/brew,19014,chenrui333,2024-12-28T20:52:20Z,2024-12-28T21:25:05Z,2024-12-28T21:25:05Z,1,issyl0,0.35,0.3536111111111111,0.5458333333333333,12,5,https://api.github.com/repos/Homebrew/brew/pulls/19014
Homebrew/brew,19013,pa-0,2024-12-28T19:33:34Z,,2025-01-24T09:01:08Z,1,MikeMcQuaid,41.10,41.10027777777778,637.4594444444444,8,1,https://api.github.com/repos/Homebrew/brew/pulls/19013
Homebrew/brew,19010,samford,2024-12-27T16:29:15Z,2024-12-30T12:52:02Z,2024-12-30T12:52:02Z,2,"p-linnane, MikeMcQuaid","0.73, 67.45",0.7294444444444445,68.37972222222223,41,2,https://api.github.com/repos/Homebrew/brew/pulls/19010
Homebrew/brew,19009,MikeMcQuaid,2024-12-27T15:46:31Z,2024-12-30T13:17:50Z,2024-12-30T13:17:50Z,2,"p-linnane, ZhongRuoyu","1.37, 32.25",1.3697222222222223,69.52194444444444,19,3,https://api.github.com/repos/Homebrew/brew/pulls/19009
Homebrew/brew,19008,daeho-ro,2024-12-27T10:23:03Z,2024-12-27T13:16:17Z,2024-12-27T13:16:17Z,2,"SMillerDev, MikeMcQuaid","0.14, 2.57",0.1388888888888889,2.8872222222222224,2,1,https://api.github.com/repos/Homebrew/brew/pulls/19008
Homebrew/brew,19004,p-linnane,2024-12-26T04:52:13Z,2024-12-27T08:47:19Z,2024-12-27T08:47:19Z,2,"carlocab, MikeMcQuaid","5.78, 21.92",5.784166666666667,27.918333333333333,389,5,https://api.github.com/repos/Homebrew/brew/pulls/19004
Homebrew/brew,19001,daeho-ro,2024-12-25T07:57:32Z,2024-12-27T08:47:19Z,2024-12-27T08:47:19Z,1,MikeMcQuaid,48.59,48.589444444444446,48.82972222222222,4,1,https://api.github.com/repos/Homebrew/brew/pulls/19001
Homebrew/brew,19000,Moisan,2024-12-24T20:25:15Z,2024-12-30T16:13:45Z,2024-12-30T16:13:45Z,3,"MikeMcQuaid, MikeMcQuaid, MikeMcQuaid","60.07, 76.21, 0.02",60.07416666666666,139.80833333333334,14,5,https://api.github.com/repos/Homebrew/brew/pulls/19000
Homebrew/brew,18999,ascherer,2024-12-24T19:28:20Z,,2024-12-27T09:28:25Z,2,"carlocab, MikeMcQuaid","48.00, 13.12",48.00361111111111,62.00138888888889,32,1,https://api.github.com/repos/Homebrew/brew/pulls/18999
Homebrew/brew,18996,ascherer,2024-12-24T12:55:47Z,2024-12-24T15:12:37Z,2024-12-24T15:12:37Z,1,MikeMcQuaid,2.05,2.046666666666667,2.2805555555555554,2,1,https://api.github.com/repos/Homebrew/brew/pulls/18996
Homebrew/brew,18995,MikeMcQuaid,2024-12-24T10:34:59Z,2024-12-24T12:51:57Z,2024-12-24T12:51:57Z,1,carlocab,2.07,2.0719444444444446,2.2827777777777776,84,5,https://api.github.com/repos/Homebrew/brew/pulls/18995
Homebrew/brew,18989,BrewTestBot,2024-12-23T00:26:28Z,2024-12-23T01:15:08Z,2024-12-23T01:15:08Z,1,ZhongRuoyu,0.57,0.5708333333333333,0.8111111111111111,3,1,https://api.github.com/repos/Homebrew/brew/pulls/18989
Homebrew/brew,18988,BrewTestBot,2024-12-22T17:20:06Z,2024-12-22T17:39:48Z,2024-12-22T17:39:48Z,1,p-linnane,0.01,0.007222222222222222,0.3283333333333333,4,2,https://api.github.com/repos/Homebrew/brew/pulls/18988
Homebrew/brew,18986,ClaytonLeeHarper,2024-12-22T04:51:21Z,,2024-12-22T06:12:14Z,1,github-advanced-security[bot],0.01,0.014722222222222222,1.3480555555555556,22,1,https://api.github.com/repos/Homebrew/brew/pulls/18986
Homebrew/brew,18985,rrotter,2024-12-22T04:25:13Z,2024-12-22T17:19:15Z,2024-12-22T17:19:15Z,2,"ZhongRuoyu, p-linnane","5.31, 7.42",5.313055555555556,12.900555555555556,2,1,https://api.github.com/repos/Homebrew/brew/pulls/18985
Homebrew/brew,18984,issyl0,2024-12-22T00:28:58Z,2025-01-04T15:37:49Z,2025-01-04T15:37:49Z,8,"p-linnane, bevanjkay, ZhongRuoyu, samford, MikeMcQuaid, MikeMcQuaid, samford, samford","2.12, 0.93, 6.08, 12.67, 18.70, 255.06, 9.69, 21.78",2.116388888888889,327.1475,38,4,https://api.github.com/repos/Homebrew/brew/pulls/18984
Homebrew/brew,18983,cho-m,2024-12-21T18:54:32Z,,2025-01-25T00:14:10Z,2,"p-linnane, MikeMcQuaid","7.70, 38.33",7.699166666666667,821.3272222222222,3,1,https://api.github.com/repos/Homebrew/brew/pulls/18983
Homebrew/brew,18979,issyl0,2024-12-21T16:17:16Z,2024-12-21T16:55:56Z,2024-12-21T16:55:56Z,1,carlocab,0.26,0.26305555555555554,0.6444444444444445,4,1,https://api.github.com/repos/Homebrew/brew/pulls/18979
Homebrew/brew,18978,landoncrabtree,2024-12-21T15:24:58Z,2024-12-23T17:16:19Z,2024-12-23T17:16:19Z,1,MikeMcQuaid,49.58,49.57666666666667,49.85583333333334,19,1,https://api.github.com/repos/Homebrew/brew/pulls/18978
Homebrew/brew,18977,carlocab,2024-12-21T11:43:50Z,2024-12-23T17:10:24Z,2024-12-23T17:10:24Z,1,MikeMcQuaid,53.20,53.199444444444445,53.44277777777778,8,1,https://api.github.com/repos/Homebrew/brew/pulls/18977
Homebrew/brew,18974,cho-m,2024-12-20T19:47:19Z,2024-12-23T17:09:23Z,2024-12-23T17:09:24Z,2,"carlocab, MikeMcQuaid","0.49, 68.61",0.48833333333333334,69.36777777777777,2,1,https://api.github.com/repos/Homebrew/brew/pulls/18974
Homebrew/brew,18968,cho-m,2024-12-20T17:14:49Z,2024-12-23T17:10:24Z,2024-12-23T17:10:24Z,3,"carlocab, issyl0, MikeMcQuaid","3.02, 20.05, 48.62",3.0216666666666665,71.9263888888889,47,3,https://api.github.com/repos/Homebrew/brew/pulls/18968
Homebrew/brew,18967,MikeMcQuaid,2024-12-20T08:25:03Z,2024-12-20T08:52:26Z,2024-12-20T08:52:26Z,1,carlocab,0.25,0.25472222222222224,0.4563888888888889,12,1,https://api.github.com/repos/Homebrew/brew/pulls/18967
Homebrew/brew,18966,cho-m,2024-12-19T20:34:05Z,2024-12-20T08:45:13Z,2024-12-20T08:45:13Z,1,carlocab,0.93,0.9275,12.185555555555556,2,1,https://api.github.com/repos/Homebrew/brew/pulls/18966
Homebrew/brew,18964,cho-m,2024-12-19T17:08:36Z,2024-12-19T18:19:01Z,2024-12-19T18:19:01Z,1,carlocab,0.96,0.9613888888888888,1.1736111111111112,2,1,https://api.github.com/repos/Homebrew/brew/pulls/18964
