repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,reviewer_response_times,response_time_hours,review_time_hours,lines_of_code,changed_files,url
ansible/ansible,84496,simonLeary42,2024-12-27T18:09:08Z,2025-01-08T16:26:42Z,2025-01-08T16:26:42Z,5,"bcoca, bcoca, bcoca, bcoca, bcoca","141.12, 120.82, 0.04, 0.01, 0.60",141.11833333333334,286.29277777777776,11,3,https://api.github.com/repos/ansible/ansible/pulls/84496
ansible/ansible,84494,bcoca,2024-12-26T17:29:16Z,2025-01-14T15:46:52Z,2025-01-14T15:46:52Z,1,s-hertel,312.21,312.2063888888889,454.29333333333335,24,3,https://api.github.com/repos/ansible/ansible/pulls/84494
ansible/ansible,84491,knewsome-cl,2024-12-23T19:55:28Z,2025-01-14T15:43:08Z,2025-01-14T15:43:08Z,1,Akasurde,49.20,49.20166666666667,523.7944444444445,16,3,https://api.github.com/repos/ansible/ansible/pulls/84491
ansible/ansible,84488,xzeck,2024-12-22T07:20:17Z,2025-01-13T16:51:49Z,2025-01-13T16:51:49Z,9,"bcoca, bcoca, bcoca, s-hertel, s-hertel, bcoca, bcoca, s-hertel, s-hertel","37.54, 0.05, 67.71, 318.06, 0.29, 40.47, 0.01, 72.65, 27.83",37.53861111111111,537.5255555555556,20,2,https://api.github.com/repos/ansible/ansible/pulls/84488
ansible/ansible,84485,Akasurde,2024-12-20T17:55:45Z,2025-01-14T15:44:30Z,2025-01-14T15:44:30Z,1,bcoca,483.39,483.39166666666665,597.8125,125,4,https://api.github.com/repos/ansible/ansible/pulls/84485
ansible/ansible,84482,leegarrett,2024-12-20T00:51:00Z,2025-01-14T19:44:17Z,2025-01-14T19:44:17Z,2,"Akasurde, Akasurde","20.51, 597.15",20.509444444444444,618.8880555555555,36,3,https://api.github.com/repos/ansible/ansible/pulls/84482
ansible/ansible,84477,VannTen,2024-12-18T21:25:32Z,2025-01-15T19:26:29Z,2025-01-15T19:26:29Z,3,"bcoca, bcoca, bcoca","2.45, 16.08, 0.69",2.453333333333333,670.0158333333334,5,1,https://api.github.com/repos/ansible/ansible/pulls/84477
ansible/ansible,84473,simonLeary42,2024-12-17T18:22:29Z,2025-01-14T15:21:57Z,2025-01-14T15:21:57Z,5,"Akasurde, flowerysong, Akasurde, Akasurde, bcoca","22.27, 151.31, 327.15, 0.20, 1.04",22.2725,668.9911111111111,4,2,https://api.github.com/repos/ansible/ansible/pulls/84473
ansible/ansible,84464,Eason1118,2024-12-11T10:14:22Z,2025-01-14T15:33:43Z,2025-01-14T15:33:43Z,2,"Akasurde, s-hertel","149.85, 671.05",149.84944444444446,821.3225,5,2,https://api.github.com/repos/ansible/ansible/pulls/84464
ansible/ansible,84453,sivel,2024-12-09T23:43:10Z,2024-12-10T15:38:57Z,2024-12-10T15:38:57Z,1,s-hertel,15.93,15.926944444444445,15.929722222222223,13,3,https://api.github.com/repos/ansible/ansible/pulls/84453
ansible/ansible,84442,Akasurde,2024-12-06T18:26:59Z,2024-12-10T16:08:25Z,2024-12-10T16:08:25Z,1,bcoca,93.51,93.50694444444444,93.69055555555556,62,5,https://api.github.com/repos/ansible/ansible/pulls/84442
ansible/ansible,84438,s-hertel,2024-12-05T20:17:48Z,2024-12-05T22:24:48Z,2024-12-05T22:24:48Z,1,bcoca,0.23,0.23055555555555557,2.1166666666666667,11,1,https://api.github.com/repos/ansible/ansible/pulls/84438
ansible/ansible,84437,bcoca,2024-12-05T20:08:08Z,2024-12-10T15:51:49Z,2024-12-10T15:51:49Z,3,"Akasurde, s-hertel, Akasurde","7.19, 108.03, 0.01",7.1925,115.72805555555556,5,1,https://api.github.com/repos/ansible/ansible/pulls/84437
ansible/ansible,84436,Akasurde,2024-12-05T19:37:29Z,2024-12-05T22:52:12Z,2024-12-05T22:52:12Z,1,s-hertel,2.81,2.805,3.245277777777778,21,1,https://api.github.com/repos/ansible/ansible/pulls/84436
ansible/ansible,84432,bcoca,2024-12-05T15:52:31Z,2025-01-10T18:03:18Z,2025-01-10T18:03:18Z,5,"s-hertel, s-hertel, s-hertel, s-hertel, sivel","7.41, 114.41, 190.13, 0.04, 678.07",7.413055555555555,866.1797222222223,81,12,https://api.github.com/repos/ansible/ansible/pulls/84432
ansible/ansible,84426,spyinx,2024-12-04T07:13:56Z,2024-12-10T15:13:23Z,2024-12-10T15:13:23Z,3,"bcoca, s-hertel, s-hertel","8.38, 143.61, 0.01",8.375,151.99083333333334,4,2,https://api.github.com/repos/ansible/ansible/pulls/84426
ansible/ansible,84425,bcoca,2024-12-03T21:34:52Z,2024-12-17T15:19:44Z,2024-12-17T15:19:44Z,3,"Akasurde, Akasurde, Akasurde","17.42, 296.44, 4.79",17.42111111111111,329.7477777777778,44,3,https://api.github.com/repos/ansible/ansible/pulls/84425
ansible/ansible,84422,bcoca,2024-12-03T16:35:19Z,2024-12-10T15:07:13Z,2024-12-10T15:07:13Z,1,s-hertel,166.52,166.52305555555554,166.53166666666667,23,3,https://api.github.com/repos/ansible/ansible/pulls/84422
