repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,reviewer_response_times,response_time_hours,review_time_hours,lines_of_code,changed_files,url
facebook/react,31945,amirmousazadeh-1984,2024-12-31T12:02:35Z,,2025-01-02T20:18:45Z,2,"DuoAlly-AI-Recruiter, sebmarkbage","7.78, 48.44",7.783333333333333,56.269444444444446,9,1,https://api.github.com/repos/facebook/react/pulls/31945
facebook/react,31940,asmjmp0,2024-12-31T03:30:34Z,,2025-01-03T08:23:03Z,1,josephsavona,1.48,1.4805555555555556,76.87472222222222,83,3,https://api.github.com/repos/facebook/react/pulls/31940
facebook/react,31930,sebmarkbage,2024-12-28T08:02:16Z,2025-01-02T19:55:35Z,2025-01-02T19:55:35Z,3,"DuoAlly-AI-Recruiter, anukaal, rickhanlonii","83.80, 45.44, 1.66",83.79722222222222,131.88861111111112,328,6,https://api.github.com/repos/facebook/react/pulls/31930
facebook/react,31922,sebmarkbage,2024-12-26T21:08:02Z,2025-01-02T19:34:26Z,2025-01-02T19:34:26Z,1,rickhanlonii,165.54,165.54444444444445,166.44,15,2,https://api.github.com/repos/facebook/react/pulls/31922
facebook/react,31921,sebmarkbage,2024-12-26T20:33:27Z,2025-01-02T19:34:10Z,2025-01-02T19:34:10Z,2,"rickhanlonii, rickhanlonii","165.88, 0.53",165.87944444444443,167.01194444444445,17,1,https://api.github.com/repos/facebook/react/pulls/31921
facebook/react,31920,poteto,2024-12-26T18:49:16Z,2024-12-26T19:58:37Z,2024-12-26T19:58:37Z,1,mofeiZ,0.02,0.01972222222222222,1.1558333333333333,23,1,https://api.github.com/repos/facebook/react/pulls/31920
facebook/react,31918,poteto,2024-12-26T18:43:23Z,2025-02-25T17:19:11Z,2025-02-25T17:19:11Z,1,remcohaszing,165.36,165.35972222222222,1462.5966666666666,1383,16,https://api.github.com/repos/facebook/react/pulls/31918
facebook/react,31916,poteto,2024-12-26T18:43:21Z,,2025-02-25T17:19:37Z,1,mofeiZ,2.08,2.0755555555555554,1462.6044444444444,132,9,https://api.github.com/repos/facebook/react/pulls/31916
facebook/react,31915,poteto,2024-12-26T18:43:19Z,2024-12-27T19:27:43Z,2024-12-27T19:27:43Z,1,mofeiZ,0.12,0.12472222222222222,24.74,25,2,https://api.github.com/repos/facebook/react/pulls/31915
facebook/react,31904,hoxyq,2024-12-24T20:31:32Z,2024-12-29T15:36:21Z,2024-12-29T15:36:21Z,1,poteto,0.08,0.07694444444444444,115.08027777777778,2,1,https://api.github.com/repos/facebook/react/pulls/31904
facebook/react,31902,rickhanlonii,2024-12-24T05:07:56Z,2025-01-02T20:53:06Z,2025-01-02T20:53:06Z,1,jackpope,231.38,231.38,231.75277777777777,1076,7,https://api.github.com/repos/facebook/react/pulls/31902
facebook/react,31901,rickhanlonii,2024-12-24T04:26:28Z,2025-01-02T20:53:19Z,2025-01-02T20:53:19Z,1,jackpope,232.04,232.04444444444445,232.4475,995,1,https://api.github.com/repos/facebook/react/pulls/31901
facebook/react,31898,rickhanlonii,2024-12-23T23:09:39Z,2025-01-02T20:28:15Z,2025-01-02T20:28:15Z,1,jackpope,237.30,237.30277777777778,237.31,2020,1,https://api.github.com/repos/facebook/react/pulls/31898
facebook/react,31897,rickhanlonii,2024-12-23T23:09:14Z,2025-01-02T20:28:06Z,2025-01-02T20:28:07Z,1,jackpope,237.28,237.28333333333333,237.31444444444443,1354,13,https://api.github.com/repos/facebook/react/pulls/31897
facebook/react,31892,hoxyq,2024-12-23T14:25:18Z,2025-01-09T18:01:08Z,2025-01-09T18:01:08Z,3,"vzaidman, EdmondChuiHW, vzaidman","380.62, 29.47, 18.79",380.62333333333333,411.59722222222223,48,3,https://api.github.com/repos/facebook/react/pulls/31892
facebook/react,31883,sebmarkbage,2024-12-20T23:45:22Z,,2024-12-21T14:37:11Z,1,rickhanlonii,0.08,0.07666666666666666,14.863611111111112,393,12,https://api.github.com/repos/facebook/react/pulls/31883
facebook/react,31879,sebmarkbage,2024-12-20T22:07:01Z,2024-12-28T07:02:16Z,2024-12-28T07:02:16Z,1,unstubbable,1.14,1.1355555555555557,176.92083333333332,81,2,https://api.github.com/repos/facebook/react/pulls/31879
facebook/react,31877,sebmarkbage,2024-12-20T20:41:15Z,2024-12-28T07:01:49Z,2024-12-28T07:01:49Z,1,hoxyq,13.14,13.142222222222221,178.34277777777777,32,2,https://api.github.com/repos/facebook/react/pulls/31877
facebook/react,31876,sebmarkbage,2024-12-20T19:53:03Z,2025-01-02T18:28:24Z,2025-01-02T18:28:24Z,1,rickhanlonii,310.23,310.23305555555555,310.58916666666664,296,4,https://api.github.com/repos/facebook/react/pulls/31876
facebook/react,31871,josephsavona,2024-12-20T16:41:11Z,2024-12-20T16:56:48Z,2024-12-20T16:56:48Z,1,poteto,0.10,0.105,0.2602777777777778,85,3,https://api.github.com/repos/facebook/react/pulls/31871
facebook/react,31866,sebmarkbage,2024-12-20T04:41:27Z,2025-01-02T18:04:09Z,2025-01-02T18:04:09Z,1,rickhanlonii,325.23,325.2341666666667,325.37833333333333,66,4,https://api.github.com/repos/facebook/react/pulls/31866
facebook/react,31863,jackpope,2024-12-19T23:07:21Z,2024-12-20T14:48:50Z,2024-12-20T14:48:50Z,1,eps1lon,2.33,2.328333333333333,15.69138888888889,4,2,https://api.github.com/repos/facebook/react/pulls/31863
facebook/react,31862,rickhanlonii,2024-12-19T22:28:40Z,2024-12-20T17:41:13Z,2024-12-20T17:41:13Z,1,kassens,0.06,0.059166666666666666,19.20916666666667,340,10,https://api.github.com/repos/facebook/react/pulls/31862
facebook/react,31861,poteto,2024-12-19T17:54:29Z,2024-12-19T18:03:11Z,2024-12-19T18:03:12Z,1,rickhanlonii,0.04,0.03888888888888889,0.145,7,1,https://api.github.com/repos/facebook/react/pulls/31861
facebook/react,31860,rickhanlonii,2024-12-19T16:49:26Z,2024-12-20T17:41:30Z,2024-12-20T17:41:30Z,1,jackpope,22.28,22.2775,24.86777777777778,640,1,https://api.github.com/repos/facebook/react/pulls/31860
facebook/react,31859,jackpope,2024-12-19T16:13:00Z,2024-12-19T16:49:14Z,2024-12-19T16:49:14Z,1,kassens,0.40,0.4027777777777778,0.6038888888888889,36,2,https://api.github.com/repos/facebook/react/pulls/31859
facebook/react,31857,eps1lon,2024-12-19T14:19:38Z,2024-12-19T19:43:01Z,2024-12-19T19:43:01Z,4,"sebmarkbage, rickhanlonii, rickhanlonii, jackpope","2.30, 0.11, 0.01, 0.21",2.303611111111111,5.389722222222222,45,2,https://api.github.com/repos/facebook/react/pulls/31857
