repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,reviewer_response_times,response_time_hours,review_time_hours,lines_of_code,changed_files,url
jenkinsci/jenkins,10108,nagu165,2024-12-31T17:28:47Z,,2024-12-31T18:30:41Z,1,MarkEWaite,1.01,1.0130555555555556,1.0316666666666667,4798,841,https://api.github.com/repos/jenkinsci/jenkins/pulls/10108
jenkinsci/jenkins,10107,janfaracik,2024-12-31T11:07:26Z,2024-12-31T19:13:20Z,2024-12-31T19:13:20Z,2,"krisstern, Thompson1985","1.98, 106.28",1.9813888888888889,8.098333333333333,3,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10107
jenkinsci/jenkins,10106,timja,2024-12-30T22:24:40Z,2025-01-03T10:00:18Z,2025-01-03T10:00:18Z,2,"janfaracik, krisstern","12.60, 38.91",12.600277777777778,83.59388888888888,83,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10106
jenkinsci/jenkins,10103,MarkEWaite,2024-12-30T15:15:29Z,2025-01-03T20:33:53Z,2025-01-03T20:33:53Z,3,"timja, krisstern, NotMyFault","0.34, 0.28, 0.03",0.33805555555555555,101.30666666666667,2,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10103
jenkinsci/jenkins,10102,basil,2024-12-28T19:58:24Z,2024-12-28T19:58:32Z,2024-12-28T19:58:32Z,1,Thompson1985,171.88,171.88361111111112,0.0022222222222222222,13,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10102
jenkinsci/jenkins,10101,basil,2024-12-28T19:48:51Z,2024-12-28T19:56:54Z,2024-12-28T19:56:54Z,1,Thompson1985,172.05,172.05166666666668,0.13416666666666666,14,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10101
jenkinsci/jenkins,10089,jglick,2024-12-20T19:00:49Z,2024-12-22T15:44:31Z,2024-12-22T15:44:31Z,3,"timja, janfaracik, krisstern","2.29, 3.16, 1.01",2.292222222222222,44.72833333333333,8,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10089
jenkinsci/jenkins,10086,clintonsteiner,2024-12-20T06:29:01Z,2024-12-21T14:16:36Z,2024-12-21T14:16:36Z,2,"timja, krisstern","14.87, 12.39",14.866666666666667,31.793055555555554,11,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10086
jenkinsci/jenkins,10085,duemir,2024-12-20T05:18:31Z,2024-12-24T22:40:23Z,2024-12-24T22:40:23Z,9,"daniel-beck, timja, timja, A1exKH, krisstern, StefanSpieker, NotMyFault, A1exKH, Thompson1985","4.15, 11.92, 49.31, 0.18, 3.09, 1.72, 13.08, 28.89, 266.27",4.1530555555555555,113.36444444444444,45,3,https://api.github.com/repos/jenkinsci/jenkins/pulls/10085
jenkinsci/jenkins,10081,timja,2024-12-19T14:43:34Z,2024-12-22T15:44:52Z,2024-12-22T15:44:52Z,2,"krisstern, NotMyFault","17.84, 11.53",17.841666666666665,73.02166666666666,35,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10081
jenkinsci/jenkins,10080,janfaracik,2024-12-19T14:09:02Z,2025-01-05T14:06:25Z,2025-01-05T14:06:25Z,4,"timja, krisstern, A1exKH, NotMyFault","367.87, 10.04, 9.11, 0.02",367.87083333333334,407.9563888888889,194,7,https://api.github.com/repos/jenkinsci/jenkins/pulls/10080
jenkinsci/jenkins,10078,janfaracik,2024-12-19T10:27:02Z,2025-01-15T09:37:03Z,2025-01-15T09:37:03Z,4,"timja, timja, timja, krisstern","0.26, 83.68, 514.59, 22.87",0.255,647.1669444444444,73,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10078
jenkinsci/jenkins,10071,janfaracik,2024-12-17T22:20:01Z,2024-12-19T09:11:40Z,2024-12-19T09:11:40Z,2,"krisstern, timja","3.23, 9.06",3.2286111111111113,34.86083333333333,37,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10071
jenkinsci/jenkins,10070,timja,2024-12-17T21:41:07Z,2024-12-17T23:36:31Z,2024-12-17T23:36:31Z,1,MarkEWaite,1.39,1.3908333333333334,1.9233333333333333,12,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10070
jenkinsci/jenkins,10065,basil,2024-12-16T20:13:22Z,2024-12-17T07:17:43Z,2024-12-17T07:17:43Z,2,"MarkEWaite, timja","1.59, 0.05",1.5875,11.0725,10,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10065
jenkinsci/jenkins,10061,scherler,2024-12-16T11:34:38Z,,2025-03-03T10:12:49Z,7,"janfaracik, janfaracik, janfaracik, janfaracik, A1exKH, janfaracik, A1exKH","55.47, 0.00, 0.01, 43.54, 105.47, 155.64, 778.42",55.468333333333334,1846.6363888888889,49,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10061
jenkinsci/jenkins,10059,basil,2024-12-13T22:49:09Z,2024-12-15T19:44:26Z,2024-12-15T19:44:26Z,2,"MarkEWaite, NotMyFault","0.07, 11.26",0.07111111111111111,44.92138888888889,16,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10059
jenkinsci/jenkins,10058,Vlatombe,2024-12-13T17:07:12Z,2024-12-19T09:12:07Z,2024-12-19T09:12:07Z,7,"jglick, jglick, jglick, jglick, jglick, timja, Thompson1985","0.12, 71.08, 0.04, 0.01, 4.41, 36.12, 423.06",0.11611111111111111,136.08194444444445,60,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10058
jenkinsci/jenkins,10054,timja,2024-12-12T18:50:59Z,2024-12-14T11:46:00Z,2024-12-14T11:46:00Z,3,"janfaracik, krisstern, NotMyFault","14.90, 1.67, 22.75",14.89861111111111,40.91694444444445,4,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10054
jenkinsci/jenkins,10049,janfaracik,2024-12-11T20:23:16Z,2024-12-16T16:27:02Z,2024-12-16T16:27:02Z,5,"timja, timja, timja, krisstern, timja","0.10, 0.51, 36.82, 1.56, 57.39",0.0961111111111111,116.06277777777778,130,15,https://api.github.com/repos/jenkinsci/jenkins/pulls/10049
jenkinsci/jenkins,10046,janfaracik,2024-12-10T21:39:27Z,2024-12-12T21:39:52Z,2024-12-12T21:39:52Z,2,"timja, krisstern","0.63, 11.33",0.6305555555555555,48.00694444444444,99,4,https://api.github.com/repos/jenkinsci/jenkins/pulls/10046
jenkinsci/jenkins,10045,timja,2024-12-10T16:56:46Z,2024-12-12T21:39:26Z,2024-12-12T21:39:26Z,2,"janfaracik, krisstern","16.66, 0.15",16.656111111111112,52.71111111111111,18,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10045
jenkinsci/jenkins,10043,krisstern,2024-12-10T16:14:55Z,2024-12-12T02:32:01Z,2024-12-12T02:32:01Z,2,"NotMyFault, timja","3.69, 2.24",3.689722222222222,34.285,18,4,https://api.github.com/repos/jenkinsci/jenkins/pulls/10043
jenkinsci/jenkins,10042,jglick,2024-12-10T15:29:38Z,2024-12-15T19:44:48Z,2024-12-15T19:44:48Z,2,"Vlatombe, timja","1.20, 53.00",1.1975,124.25277777777778,324,4,https://api.github.com/repos/jenkinsci/jenkins/pulls/10042
jenkinsci/jenkins,10039,jglick,2024-12-10T00:04:42Z,2024-12-12T21:40:12Z,2024-12-12T21:40:12Z,2,"Vlatombe, timja","8.16, 2.71",8.164722222222222,69.59166666666667,5,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10039
jenkinsci/jenkins,10035,janfaracik,2024-12-07T19:06:33Z,2024-12-09T07:55:55Z,2024-12-09T07:55:55Z,3,"timja, krisstern, NotMyFault","0.12, 7.64, 5.35",0.1213888888888889,36.82277777777778,14,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10035
jenkinsci/jenkins,10032,Jonny-vb,2024-12-06T13:29:02Z,,2025-01-03T10:00:20Z,4,"janfaracik, krisstern, timja, timja","0.24, 27.46, 0.28, 556.96",0.24166666666666667,668.5216666666666,6,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10032
jenkinsci/jenkins,10026,mtughan,2024-12-04T20:21:02Z,2025-01-04T08:00:31Z,2025-01-04T08:00:31Z,5,"timja, timja, StefanSpieker, jglick, jglick","92.88, 14.25, 0.42, 5.02, 586.94",92.87777777777778,731.6580555555555,1,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10026
jenkinsci/jenkins,10023,jglick,2024-12-03T22:42:15Z,2024-12-12T21:40:26Z,2024-12-12T21:40:26Z,2,"Vlatombe, dwnusbaum","9.88, 6.68",9.877777777777778,214.96972222222223,37,3,https://api.github.com/repos/jenkinsci/jenkins/pulls/10023
jenkinsci/jenkins,10022,daniel-beck,2024-12-03T19:27:47Z,2024-12-04T12:34:51Z,2024-12-04T12:34:51Z,2,"StefanSpieker, MarkEWaite","0.47, 0.55",0.47444444444444445,17.11777777777778,4,2,https://api.github.com/repos/jenkinsci/jenkins/pulls/10022
jenkinsci/jenkins,10019,slide,2024-12-02T19:24:23Z,2024-12-05T13:13:23Z,2024-12-05T13:13:23Z,3,"timja, StefanSpieker, jonesbusy","3.03, 0.11, 5.66",3.0330555555555554,65.81666666666666,2,1,https://api.github.com/repos/jenkinsci/jenkins/pulls/10019
