repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,reviewer_response_times,response_time_hours,review_time_hours,lines_of_code,changed_files,url
obsproject/obs-studio,11668,kkartaltepe,2024-12-24T18:35:26Z,2025-01-16T20:43:49Z,2025-01-16T20:43:49Z,3,"PatTheMav, Lain-B, RytoEX","66.44, 84.46, 402.11",66.43972222222222,554.1397222222222,1,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11668
obsproject/obs-studio,11663,izwb003,2024-12-23T18:31:40Z,2025-01-04T11:23:21Z,2025-01-04T11:23:21Z,2,"PatTheMav, gxalpha","90.58, 190.18",90.58361111111111,280.8613888888889,2,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11663
obsproject/obs-studio,11652,gxalpha,2024-12-20T20:05:43Z,2025-01-16T21:34:00Z,2025-01-16T21:34:00Z,1,PatTheMav,161.12,161.11888888888888,649.4713888888889,2,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11652
obsproject/obs-studio,11651,Penwy,2024-12-20T15:54:54Z,2025-01-08T20:25:15Z,2025-01-08T20:25:15Z,2,"PatTheMav, WizardCM","165.31, 202.79",165.3088888888889,460.5058333333333,2,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11651
obsproject/obs-studio,11630,derrod,2024-12-14T22:02:48Z,2025-01-08T18:33:03Z,2025-01-08T18:33:03Z,1,Warchamp7,213.75,213.74944444444444,596.5041666666667,10,2,https://api.github.com/repos/obsproject/obs-studio/pulls/11630
obsproject/obs-studio,11629,derrod,2024-12-14T21:35:54Z,2025-01-16T20:13:50Z,2025-01-16T20:13:50Z,2,"Lain-B, RytoEX","145.43, 644.54",145.43305555555557,790.6322222222223,2,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11629
obsproject/obs-studio,11626,derrod,2024-12-13T03:40:40Z,2025-01-16T19:27:47Z,2025-01-16T19:27:47Z,2,"Lain-B, RytoEX","40.14, 791.64",40.13777777777778,831.7852777777778,2,1,https://api.github.com/repos/obsproject/obs-studio/pulls/11626
obsproject/obs-studio,11625,derrod,2024-12-13T02:52:16Z,2025-01-16T19:50:54Z,2025-01-16T19:50:55Z,3,"Lain-B, DeeDeeG, RytoEX","40.93, 29.68, 762.12",40.925555555555555,832.9772222222222,25,4,https://api.github.com/repos/obsproject/obs-studio/pulls/11625
obsproject/obs-studio,11624,PatTheMav,2024-12-12T14:07:02Z,2025-01-23T21:43:37Z,2025-01-23T21:43:37Z,2,"RytoEX, RytoEX","847.68, 167.92",847.6847222222223,1015.6097222222222,61,7,https://api.github.com/repos/obsproject/obs-studio/pulls/11624
obsproject/obs-studio,11622,PatTheMav,2024-12-11T22:19:27Z,2025-01-16T19:04:16Z,2025-01-16T19:04:16Z,13,"RytoEX, derrod, RytoEX, RytoEX, RytoEX, RytoEX, RytoEX, RytoEX, RytoEX, RytoEX, Warchamp7, Warchamp7, RytoEX","25.08, 4.41, 18.79, 0.81, 0.01, 0.01, 0.04, 0.02, 0.01, 1.61, 68.06, 0.75, 0.89",25.08,860.7469444444445,54655,980,https://api.github.com/repos/obsproject/obs-studio/pulls/11622
