repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,reviewers,reviewer_response_times,response_time_hours,review_time_hours,lines_of_code,changed_files,url
openstreetmap/openstreetmap-website,5449,AntonKhorev,2024-12-29T17:23:27Z,2025-01-15T12:49:34Z,2025-01-15T12:49:34Z,1,tomhughes,2.02,2.0216666666666665,403.4352777777778,118,8,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5449
openstreetmap/openstreetmap-website,5443,AntonKhorev,2024-12-25T23:22:08Z,2025-01-01T11:40:50Z,2025-01-01T11:40:50Z,2,"tomhughes, tomhughes","113.25, 43.02",113.24777777777778,156.31166666666667,229,4,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5443
openstreetmap/openstreetmap-website,5437,AntonKhorev,2024-12-23T03:06:17Z,2025-01-17T17:55:02Z,2025-01-17T17:55:02Z,1,nertc,515.52,515.5247222222222,614.8125,276,7,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5437
openstreetmap/openstreetmap-website,5433,AntonKhorev,2024-12-21T02:41:22Z,2025-01-15T12:55:42Z,2025-01-15T12:55:42Z,1,tomhughes,32.41,32.405,610.2388888888889,137,7,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5433
openstreetmap/openstreetmap-website,5429,AntonKhorev,2024-12-20T14:50:16Z,2024-12-20T15:55:42Z,2024-12-20T15:55:42Z,2,"tomhughes, tomhughes","0.62, 0.47",0.6236111111111111,1.0905555555555555,149,5,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5429
openstreetmap/openstreetmap-website,5426,hlfan,2024-12-20T12:53:12Z,,2025-01-18T06:47:38Z,3,"tomhughes, tomhughes, tomhughes","45.95, 193.59, 0.47",45.94694444444445,689.9072222222222,29,3,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5426
openstreetmap/openstreetmap-website,5421,tomhughes,2024-12-19T15:22:08Z,2025-01-20T17:54:02Z,2025-01-20T17:54:02Z,1,HolgerJeromin,319.48,319.48055555555555,770.5316666666666,2,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5421
openstreetmap/openstreetmap-website,5417,tomhughes,2024-12-18T17:27:03Z,2024-12-19T10:28:13Z,2024-12-19T10:28:13Z,1,kcne,5.99,5.9925,17.019444444444446,98,3,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5417
openstreetmap/openstreetmap-website,5416,AntonKhorev,2024-12-18T17:02:37Z,2024-12-19T16:10:19Z,2024-12-19T16:10:19Z,4,"tomhughes, HolgerJeromin, tomhughes, tomhughes","15.91, 1.28, 4.67, 1.23",15.90611111111111,23.128333333333334,40,3,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5416
openstreetmap/openstreetmap-website,5403,AntonKhorev,2024-12-16T17:10:52Z,2025-02-10T18:56:05Z,2025-02-10T18:56:05Z,2,"tomhughes, nenad-vujicic","26.09, 976.90",26.089166666666667,1345.753611111111,78,7,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5403
openstreetmap/openstreetmap-website,5402,kcne,2024-12-16T15:40:49Z,2025-03-11T18:50:23Z,2025-03-11T18:50:23Z,19,"HolgerJeromin, HolgerJeromin, hlfan, HolgerJeromin, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev, HolgerJeromin, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev","15.81, 0.12, 677.55, 0.04, 158.07, 0.43, 0.60, 0.28, 0.28, 2.98, 6.05, 38.99, 199.86, 0.37, 0.11, 0.45, 0.10, 0.06, 0.03",15.813333333333333,2043.1594444444445,605,9,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5402
openstreetmap/openstreetmap-website,5397,hlfan,2024-12-13T09:09:32Z,,2025-01-09T18:59:24Z,2,"gravitystorm, tomhughes","122.46, 1.05",122.45611111111111,657.8311111111111,40,3,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5397
openstreetmap/openstreetmap-website,5396,hlfan,2024-12-12T19:23:02Z,,2025-01-09T18:59:23Z,1,tomhughes,1.03,1.0322222222222222,671.6058333333333,25,3,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5396
openstreetmap/openstreetmap-website,5385,AntonKhorev,2024-12-06T15:01:32Z,2024-12-10T19:11:07Z,2024-12-10T19:11:07Z,2,"tomhughes, tomhughes","44.24, 55.63",44.24055555555555,100.15972222222223,590,12,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5385
openstreetmap/openstreetmap-website,5376,AntonKhorev,2024-12-04T10:13:13Z,2024-12-04T19:03:13Z,2024-12-04T19:03:13Z,1,HolgerJeromin,0.36,0.3622222222222222,8.833333333333334,5,2,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5376
openstreetmap/openstreetmap-website,5371,AntonKhorev,2024-12-03T07:28:28Z,2024-12-03T18:39:59Z,2024-12-03T18:39:59Z,1,HolgerJeromin,0.42,0.42277777777777775,11.191944444444445,30,2,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5371
openstreetmap/openstreetmap-website,5366,AntonKhorev,2024-12-02T09:30:26Z,2024-12-02T15:01:55Z,2024-12-02T15:01:55Z,1,HolgerJeromin,0.43,0.43027777777777776,5.5247222222222225,14,3,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5366
openstreetmap/openstreetmap-website,5365,AntonKhorev,2024-12-02T09:05:17Z,2024-12-02T15:01:55Z,2024-12-02T15:01:55Z,1,HolgerJeromin,0.81,0.8066666666666666,5.943888888888889,6,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5365
openstreetmap/openstreetmap-website,5364,AntonKhorev,2024-12-02T08:37:35Z,2024-12-02T15:01:55Z,2024-12-02T15:01:55Z,1,HolgerJeromin,1.26,1.2616666666666667,6.405555555555556,2,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5364
openstreetmap/openstreetmap-website,5362,AntonKhorev,2024-12-01T02:12:59Z,2024-12-11T16:53:15Z,2024-12-11T16:53:15Z,1,hlfan,56.12,56.117777777777775,254.67111111111112,166,16,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5362
openstreetmap/openstreetmap-website,5361,Yatharths11,2024-11-30T13:51:03Z,,2025-01-15T13:13:59Z,1,hlfan,68.02,68.01694444444445,1103.3822222222223,3,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5361
openstreetmap/openstreetmap-website,5352,AntonKhorev,2024-11-23T22:59:51Z,,2025-03-16T19:10:42Z,2,"hlfan, tomhughes","1747.10, 144.98",1747.0980555555554,2708.1808333333333,33,4,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5352
openstreetmap/openstreetmap-website,5346,AntonKhorev,2024-11-21T00:25:37Z,2024-11-21T22:16:58Z,2024-11-21T22:16:58Z,2,"tomhughes, tomhughes","18.37, 3.48",18.36638888888889,21.855833333333333,124,4,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5346
openstreetmap/openstreetmap-website,5325,scy,2024-11-14T21:43:01Z,,2024-11-15T18:53:05Z,6,"hlfan, pkrasicki, Dr-Mx, pkrasicki, Dr-Mx, Dr-Mx","10.75, 8.17, 0.30, 0.17, 0.49, 1.51",10.754444444444445,21.16777777777778,8,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5325
openstreetmap/openstreetmap-website,5323,nenad-vujicic,2024-11-14T14:40:00Z,,2024-12-20T14:55:30Z,1,AntonKhorev,550.18,550.1836111111111,864.2583333333333,119,6,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5323
openstreetmap/openstreetmap-website,5314,AntonKhorev,2024-11-12T23:02:59Z,2024-11-20T18:21:11Z,2024-11-20T18:21:11Z,2,"tomhughes, tomhughes","19.81, 23.20",19.81388888888889,187.30333333333334,172,4,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5314
openstreetmap/openstreetmap-website,5312,AntonKhorev,2024-11-11T15:04:21Z,2024-11-13T17:06:33Z,2024-11-13T17:06:33Z,2,"tomhughes, tomhughes","27.77, 22.08",27.77166666666667,50.03666666666667,72,2,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5312
openstreetmap/openstreetmap-website,5307,AntonKhorev,2024-11-07T08:48:32Z,2024-11-08T08:05:22Z,2024-11-08T08:05:22Z,1,tomhughes,8.95,8.945,23.280555555555555,24,2,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5307
openstreetmap/openstreetmap-website,5304,AntonKhorev,2024-11-06T10:26:11Z,2024-11-08T08:05:22Z,2024-11-08T08:05:22Z,1,tomhughes,31.18,31.177777777777777,45.653055555555554,16,2,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5304
openstreetmap/openstreetmap-website,5297,kcne,2024-10-30T21:11:09Z,2024-11-18T15:29:29Z,2024-11-18T15:29:29Z,4,"tomhughes, AntonKhorev, AntonKhorev, AntonKhorev","141.84, 13.48, 53.91, 0.11",141.845,450.30555555555554,56,4,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5297
openstreetmap/openstreetmap-website,5295,tomhughes,2024-10-29T22:18:16Z,2024-11-13T16:07:41Z,2024-11-13T16:07:41Z,1,nenad-vujicic,182.04,182.03972222222222,353.8236111111111,44,3,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5295
openstreetmap/openstreetmap-website,5293,AntonKhorev,2024-10-28T00:49:54Z,2024-11-13T18:45:16Z,2024-11-13T18:45:16Z,1,gravitystorm,14.39,14.391944444444444,401.92277777777775,117,8,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5293
openstreetmap/openstreetmap-website,5284,AntonKhorev,2024-10-24T14:42:58Z,2024-10-31T18:06:33Z,2024-10-31T18:06:33Z,4,"tomhughes, gravitystorm, tomhughes, tomhughes","44.04, 25.81, 11.40, 66.90",44.04472222222222,171.39305555555555,191,7,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5284
openstreetmap/openstreetmap-website,5278,AntonKhorev,2024-10-21T23:13:36Z,2025-02-16T13:14:58Z,2025-02-16T13:14:58Z,1,nenad-vujicic,16.73,16.733333333333334,2822.0227777777777,14,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5278
openstreetmap/openstreetmap-website,5277,AntonKhorev,2024-10-21T16:37:00Z,,2025-02-15T16:42:55Z,1,kcne,3.23,3.232222222222222,2808.098611111111,4,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5277
openstreetmap/openstreetmap-website,5276,AntonKhorev,2024-10-21T11:52:10Z,2024-10-21T21:46:39Z,2024-10-21T21:46:39Z,1,nenad-vujicic,3.70,3.6966666666666668,9.908055555555556,4,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5276
openstreetmap/openstreetmap-website,5273,JakobMiksch,2024-10-20T09:13:13Z,2024-10-20T16:41:38Z,2024-10-20T16:41:38Z,1,HolgerJeromin,4.48,4.4775,7.473611111111111,6,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5273
openstreetmap/openstreetmap-website,5261,nertc,2024-10-15T08:00:28Z,2025-01-17T01:05:04Z,2025-01-17T01:05:04Z,14,"AntonKhorev, tomhughes, mmd-osm, gravitystorm, kcne, kcne, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev, AntonKhorev","3.01, 7.01, 0.14, 20.96, 0.30, 0.05, 166.03, 23.23, 501.57, 556.62, 619.37, 0.08, 0.25, 167.63",3.0091666666666668,2249.076666666667,759,30,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5261
openstreetmap/openstreetmap-website,5255,kcne,2024-10-09T17:54:46Z,,2024-10-31T08:54:12Z,3,"AntonKhorev, AntonKhorev, AntonKhorev","138.35, 0.16, 45.97",138.34916666666666,518.9905555555556,401,6,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5255
openstreetmap/openstreetmap-website,5233,AntonKhorev,2024-09-23T14:44:04Z,2025-02-15T15:24:00Z,2025-02-15T15:24:00Z,1,nenad-vujicic,6.72,6.721666666666667,3480.6655555555553,16,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5233
openstreetmap/openstreetmap-website,5226,AntonKhorev,2024-09-19T15:50:38Z,2024-09-20T18:21:02Z,2024-09-20T18:21:02Z,1,nenad-vujicic,21.06,21.063333333333333,26.506666666666668,38,5,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5226
openstreetmap/openstreetmap-website,5223,nenad-vujicic,2024-09-18T21:49:42Z,2024-09-20T18:21:02Z,2024-09-20T18:21:02Z,2,"AntonKhorev, AntonKhorev","14.28, 0.37",14.283055555555556,44.522222222222226,2,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5223
openstreetmap/openstreetmap-website,5216,kcne,2024-09-14T16:28:46Z,2024-10-16T15:55:33Z,2024-10-16T15:55:33Z,2,"gravitystorm, nenad-vujicic","432.57, 46.15",432.56944444444446,767.4463888888889,362,8,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5216
openstreetmap/openstreetmap-website,5213,AntonKhorev,2024-09-14T14:22:46Z,2024-09-15T18:23:40Z,2024-09-15T18:23:40Z,1,kcne,2.14,2.144722222222222,28.015,22,2,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5213
openstreetmap/openstreetmap-website,5212,tomhughes,2024-09-13T17:28:02Z,2024-09-17T12:37:11Z,2024-09-17T12:37:11Z,1,AntonKhorev,19.69,19.690277777777776,91.1525,7,2,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5212
openstreetmap/openstreetmap-website,5211,AntonKhorev,2024-09-13T15:51:48Z,2024-09-14T10:15:27Z,2024-09-14T10:15:27Z,3,"tomhughes, mmd-osm, tomhughes","1.25, 14.08, 2.80",1.2522222222222221,18.394166666666667,2,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5211
openstreetmap/openstreetmap-website,5209,tomhughes,2024-09-12T21:59:26Z,2024-09-18T12:44:14Z,2024-09-18T12:44:14Z,1,kcne,42.57,42.56583333333333,134.74666666666667,12,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5209
openstreetmap/openstreetmap-website,5207,tomhughes,2024-09-12T18:26:33Z,2024-09-13T10:37:00Z,2024-09-13T10:37:00Z,1,AntonKhorev,15.31,15.313055555555556,16.174166666666668,15,2,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5207
openstreetmap/openstreetmap-website,5203,nenad-vujicic,2024-09-12T11:58:23Z,2024-09-15T18:33:26Z,2024-09-15T18:33:26Z,3,"tomhughes, kcne, tomhughes","46.28, 6.34, 25.92",46.27916666666667,78.58416666666666,18,1,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5203
openstreetmap/openstreetmap-website,5196,tomhughes,2024-09-11T17:00:30Z,2024-09-13T09:00:11Z,2024-09-13T09:00:11Z,3,"AntonKhorev, AntonKhorev, AntonKhorev","17.45, 0.80, 0.37",17.448333333333334,39.99472222222222,84,8,https://api.github.com/repos/openstreetmap/openstreetmap-website/pulls/5196
