repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,url
facebook/react,32372,franky47,2025-02-12T21:25:26Z,2025-02-13T12:02:55Z,2025-02-13T12:02:55Z,1,14.623055555555556,14.624722222222223,11,2,https://api.github.com/repos/facebook/react/pulls/32372
facebook/react,32371,poteto,2025-02-12T20:07:57Z,2025-02-12T20:13:47Z,2025-02-12T20:13:47Z,0,,0.09722222222222222,2,1,https://api.github.com/repos/facebook/react/pulls/32371
facebook/react,32368,poteto,2025-02-12T16:54:38Z,2025-02-12T16:59:56Z,2025-02-12T16:59:56Z,1,0.03222222222222222,0.08833333333333333,316,2,https://api.github.com/repos/facebook/react/pulls/32368
facebook/react,32363,rubennorte,2025-02-12T11:35:31Z,2025-02-12T13:52:57Z,2025-02-12T13:52:57Z,4,1.3233333333333333,2.2905555555555557,80,10,https://api.github.com/repos/facebook/react/pulls/32363
facebook/react,32358,poteto,2025-02-11T18:19:22Z,,2025-02-11T18:19:32Z,1,0.002777777777777778,0.002777777777777778,2,1,https://api.github.com/repos/facebook/react/pulls/32358
facebook/react,32357,poteto,2025-02-11T18:07:47Z,2025-02-11T18:09:38Z,2025-02-11T18:09:38Z,2,0.0038888888888888888,0.030833333333333334,37,1,https://api.github.com/repos/facebook/react/pulls/32357
facebook/react,32355,JoshuaKGoldberg,2025-02-11T13:06:02Z,2025-02-11T22:01:04Z,2025-02-11T22:01:04Z,1,6.9591666666666665,8.917222222222222,24,1,https://api.github.com/repos/facebook/react/pulls/32355
facebook/react,32350,Diablo66619,2025-02-11T00:49:07Z,,2025-02-12T22:41:29Z,0,,45.87277777777778,723345,5948,https://api.github.com/repos/facebook/react/pulls/32350
facebook/react,32349,poteto,2025-02-10T20:40:21Z,2025-02-10T20:46:47Z,2025-02-10T20:46:47Z,0,,0.10722222222222222,1,1,https://api.github.com/repos/facebook/react/pulls/32349
facebook/react,32348,poteto,2025-02-10T18:52:32Z,2025-02-10T19:08:44Z,2025-02-10T19:08:44Z,0,,0.27,3,1,https://api.github.com/repos/facebook/react/pulls/32348
facebook/react,32347,poteto,2025-02-10T18:05:55Z,,2025-02-11T18:22:49Z,0,,24.281666666666666,6,1,https://api.github.com/repos/facebook/react/pulls/32347
facebook/react,32344,unstubbable,2025-02-09T21:37:12Z,2025-02-09T22:55:50Z,2025-02-09T22:55:50Z,1,1.3086111111111112,1.3105555555555555,2,1,https://api.github.com/repos/facebook/react/pulls/32344
facebook/react,32343,machinelearningprodigy,2025-02-09T05:09:41Z,,2025-02-09T11:41:27Z,0,,6.529444444444445,178,2,https://api.github.com/repos/facebook/react/pulls/32343
facebook/react,32342,sebmarkbage,2025-02-09T03:41:40Z,2025-02-09T20:01:28Z,2025-02-09T20:01:28Z,1,7.5325,16.33,4,2,https://api.github.com/repos/facebook/react/pulls/32342
facebook/react,32338,poteto,2025-02-07T23:03:30Z,,2025-02-07T23:18:09Z,0,,0.24416666666666667,2,1,https://api.github.com/repos/facebook/react/pulls/32338
facebook/react,32337,poteto,2025-02-07T22:53:53Z,2025-02-07T23:01:53Z,2025-02-07T23:01:53Z,0,,0.13333333333333333,2,1,https://api.github.com/repos/facebook/react/pulls/32337
facebook/react,32336,poteto,2025-02-07T22:50:20Z,,2025-02-07T23:02:20Z,0,,0.2,2,1,https://api.github.com/repos/facebook/react/pulls/32336
facebook/react,32335,poteto,2025-02-07T22:37:40Z,2025-02-07T22:49:09Z,2025-02-07T22:49:09Z,0,,0.1913888888888889,37,1,https://api.github.com/repos/facebook/react/pulls/32335
facebook/react,32334,kassens,2025-02-07T21:56:22Z,,2025-02-10T19:09:16Z,0,,69.215,1,1,https://api.github.com/repos/facebook/react/pulls/32334
facebook/react,32333,poteto,2025-02-07T21:17:50Z,2025-02-07T21:39:37Z,2025-02-07T21:39:38Z,0,,0.3630555555555556,55,3,https://api.github.com/repos/facebook/react/pulls/32333
facebook/react,32332,poteto,2025-02-07T21:06:50Z,2025-02-07T21:34:26Z,2025-02-07T21:34:26Z,0,,0.46,8,2,https://api.github.com/repos/facebook/react/pulls/32332
facebook/react,32331,poteto,2025-02-07T20:42:17Z,2025-02-07T21:04:46Z,2025-02-07T21:04:46Z,1,0.14472222222222222,0.37472222222222223,97,2,https://api.github.com/repos/facebook/react/pulls/32331
facebook/react,32328,rubennorte,2025-02-07T13:43:16Z,,2025-02-07T14:45:04Z,0,,1.03,11,3,https://api.github.com/repos/facebook/react/pulls/32328
facebook/react,32327,hoxyq,2025-02-07T11:07:39Z,2025-02-07T11:07:47Z,2025-02-07T11:07:47Z,0,,0.0022222222222222222,3,1,https://api.github.com/repos/facebook/react/pulls/32327
facebook/react,32326,hoxyq,2025-02-07T10:49:43Z,2025-02-07T10:54:45Z,2025-02-07T10:54:45Z,0,,0.08388888888888889,29,8,https://api.github.com/repos/facebook/react/pulls/32326
facebook/react,32324,inottn,2025-02-07T05:54:29Z,2025-02-07T20:48:03Z,2025-02-07T20:48:03Z,0,,14.892777777777777,10,2,https://api.github.com/repos/facebook/react/pulls/32324
facebook/react,32321,gnoff,2025-02-06T21:16:01Z,2025-02-06T22:30:41Z,2025-02-06T22:30:41Z,1,0.7513888888888889,1.2444444444444445,9,1,https://api.github.com/repos/facebook/react/pulls/32321
facebook/react,32318,jackpope,2025-02-06T20:41:18Z,2025-02-07T16:12:29Z,2025-02-07T16:12:29Z,1,19.09111111111111,19.51972222222222,26,9,https://api.github.com/repos/facebook/react/pulls/32318
