repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,url
kubernetes/kubernetes,130134,besher-massri,2025-02-13T10:28:58Z,,2025-02-13T12:27:46Z,0,,1.98,5,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130134
kubernetes/kubernetes,130127,carlory,2025-02-13T03:59:20Z,2025-02-13T08:12:21Z,2025-02-13T08:12:21Z,1,2.948611111111111,4.216944444444445,4,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130127
kubernetes/kubernetes,130123,marosset,2025-02-12T23:14:32Z,2025-02-13T01:10:20Z,2025-02-13T01:10:20Z,2,0.5372222222222223,1.93,10,2,https://api.github.com/repos/kubernetes/kubernetes/pulls/130123
kubernetes/kubernetes,130113,AwesomePatrol,2025-02-12T12:52:13Z,2025-02-12T15:24:06Z,2025-02-12T15:24:06Z,0,,2.531388888888889,16,3,https://api.github.com/repos/kubernetes/kubernetes/pulls/130113
kubernetes/kubernetes,130110,neolit123,2025-02-12T09:10:16Z,2025-02-12T13:22:06Z,2025-02-12T13:22:06Z,0,,4.197222222222222,10,4,https://api.github.com/repos/kubernetes/kubernetes/pulls/130110
kubernetes/kubernetes,130106,cpanato,2025-02-12T05:20:39Z,2025-02-12T12:00:07Z,2025-02-12T12:00:07Z,2,2.2144444444444447,6.657777777777778,240,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130106
kubernetes/kubernetes,130102,marosset,2025-02-11T23:46:33Z,2025-02-12T18:48:28Z,2025-02-12T18:48:28Z,8,0.6880555555555555,19.031944444444445,8,2,https://api.github.com/repos/kubernetes/kubernetes/pulls/130102
kubernetes/kubernetes,130095,pacoxu,2025-02-11T10:34:46Z,,2025-02-13T10:35:15Z,0,,48.00805555555556,24,4,https://api.github.com/repos/kubernetes/kubernetes/pulls/130095
kubernetes/kubernetes,130091,googs1025,2025-02-11T05:14:17Z,2025-02-11T09:22:09Z,2025-02-11T09:22:09Z,8,0.0175,4.131111111111111,4,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130091
kubernetes/kubernetes,130078,cpanato,2025-02-10T20:34:30Z,2025-02-11T23:47:58Z,2025-02-11T23:47:58Z,2,0.05138888888888889,27.224444444444444,22,7,https://api.github.com/repos/kubernetes/kubernetes/pulls/130078
kubernetes/kubernetes,130077,cpanato,2025-02-10T20:31:39Z,2025-02-11T23:49:58Z,2025-02-11T23:49:58Z,2,0.08472222222222223,27.30527777777778,320,7,https://api.github.com/repos/kubernetes/kubernetes/pulls/130077
kubernetes/kubernetes,130076,cpanato,2025-02-10T20:29:11Z,2025-02-11T23:49:58Z,2025-02-11T23:49:58Z,2,0.15138888888888888,27.34638888888889,82,7,https://api.github.com/repos/kubernetes/kubernetes/pulls/130076
kubernetes/kubernetes,130075,cpanato,2025-02-10T20:26:03Z,2025-02-12T02:03:58Z,2025-02-12T02:03:58Z,0,,29.631944444444443,82,7,https://api.github.com/repos/kubernetes/kubernetes/pulls/130075
kubernetes/kubernetes,130074,cpanato,2025-02-10T20:05:26Z,2025-02-11T14:30:06Z,2025-02-11T14:30:06Z,0,,18.41111111111111,22,7,https://api.github.com/repos/kubernetes/kubernetes/pulls/130074
kubernetes/kubernetes,130072,Jefftree,2025-02-10T16:36:50Z,2025-02-11T13:03:58Z,2025-02-11T13:03:58Z,0,,20.452222222222222,3,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130072
kubernetes/kubernetes,130068,mimowo,2025-02-10T13:46:12Z,2025-02-10T16:22:04Z,2025-02-10T16:22:04Z,1,1.2630555555555556,2.597777777777778,2,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130068
kubernetes/kubernetes,130067,kerthcet,2025-02-10T12:10:24Z,2025-02-11T15:48:08Z,2025-02-11T15:48:08Z,4,1.1427777777777777,27.628888888888888,4,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130067
kubernetes/kubernetes,130062,mimowo,2025-02-10T08:19:43Z,2025-02-10T16:21:57Z,2025-02-10T16:21:57Z,1,0.24416666666666667,8.037222222222223,4,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130062
kubernetes/kubernetes,130059,googs1025,2025-02-10T06:07:42Z,2025-02-10T07:23:57Z,2025-02-10T07:23:57Z,1,1.018888888888889,1.2708333333333333,13,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130059
kubernetes/kubernetes,130058,gjkim42,2025-02-10T06:03:32Z,2025-02-12T21:16:29Z,2025-02-12T21:16:29Z,4,10.726111111111111,63.215833333333336,488,5,https://api.github.com/repos/kubernetes/kubernetes/pulls/130058
kubernetes/kubernetes,130056,saku3,2025-02-10T01:18:54Z,2025-02-10T10:43:56Z,2025-02-10T10:43:56Z,1,1.7113888888888888,9.417222222222222,36,2,https://api.github.com/repos/kubernetes/kubernetes/pulls/130056
kubernetes/kubernetes,130053,iholder101,2025-02-09T15:55:37Z,2025-02-12T20:02:28Z,2025-02-12T20:02:28Z,6,25.674444444444443,76.11416666666666,11,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130053
kubernetes/kubernetes,130049,aojea,2025-02-08T15:33:11Z,2025-02-11T11:32:00Z,2025-02-11T11:32:01Z,6,0.9586111111111111,67.98027777777777,68,14,https://api.github.com/repos/kubernetes/kubernetes/pulls/130049
kubernetes/kubernetes,130045,carlory,2025-02-08T07:05:00Z,2025-02-11T09:21:57Z,2025-02-11T09:21:58Z,10,1.8044444444444445,74.2825,33,5,https://api.github.com/repos/kubernetes/kubernetes/pulls/130045
kubernetes/kubernetes,130044,yongruilin,2025-02-08T03:35:33Z,,2025-02-11T17:02:59Z,0,,85.45722222222223,16,8,https://api.github.com/repos/kubernetes/kubernetes/pulls/130044
kubernetes/kubernetes,130041,cpanato,2025-02-07T20:27:01Z,2025-02-08T00:15:56Z,2025-02-08T00:15:56Z,0,,3.8152777777777778,240,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130041
kubernetes/kubernetes,130040,HirazawaUi,2025-02-07T14:04:45Z,2025-02-11T15:47:59Z,2025-02-11T15:47:59Z,15,0.4913888888888889,97.72055555555555,110,5,https://api.github.com/repos/kubernetes/kubernetes/pulls/130040
kubernetes/kubernetes,130039,p0lyn0mial,2025-02-07T13:40:43Z,2025-02-12T23:16:27Z,2025-02-12T23:16:27Z,2,94.68916666666667,129.59555555555556,72,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130039
kubernetes/kubernetes,130038,jsafrane,2025-02-07T13:38:04Z,2025-02-11T21:39:59Z,2025-02-11T21:39:59Z,0,,104.03194444444445,50,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130038
kubernetes/kubernetes,130032,aroradaman,2025-02-07T09:58:04Z,2025-02-07T13:55:55Z,2025-02-07T13:55:55Z,1,0.6280555555555556,3.964166666666667,905,35,https://api.github.com/repos/kubernetes/kubernetes/pulls/130032
kubernetes/kubernetes,130031,HirazawaUi,2025-02-07T09:26:42Z,,2025-02-10T13:19:46Z,0,,75.88444444444444,127,6,https://api.github.com/repos/kubernetes/kubernetes/pulls/130031
kubernetes/kubernetes,130030,7sunarni,2025-02-07T09:19:12Z,,2025-02-10T17:21:42Z,0,,80.04166666666667,26,2,https://api.github.com/repos/kubernetes/kubernetes/pulls/130030
kubernetes/kubernetes,130027,carlory,2025-02-07T07:17:28Z,,2025-02-07T07:21:07Z,0,,0.060833333333333336,3,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130027
kubernetes/kubernetes,130026,carlory,2025-02-07T07:06:16Z,2025-02-07T20:03:57Z,2025-02-07T20:03:57Z,0,,12.961388888888889,22,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130026
kubernetes/kubernetes,130024,sivchari,2025-02-07T06:41:59Z,2025-02-12T23:16:20Z,2025-02-12T23:16:20Z,4,134.0536111111111,136.5725,16,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130024
kubernetes/kubernetes,130023,SataQiu,2025-02-07T05:29:45Z,2025-02-11T06:39:57Z,2025-02-11T06:39:57Z,9,3.1425,97.17,98,14,https://api.github.com/repos/kubernetes/kubernetes/pulls/130023
kubernetes/kubernetes,130017,aramase,2025-02-06T20:15:57Z,2025-02-06T22:40:07Z,2025-02-06T22:40:07Z,0,,2.4027777777777777,9,2,https://api.github.com/repos/kubernetes/kubernetes/pulls/130017
kubernetes/kubernetes,130015,aramase,2025-02-06T19:56:09Z,2025-02-07T09:11:56Z,2025-02-07T09:11:56Z,2,0.23694444444444446,13.263055555555555,4,2,https://api.github.com/repos/kubernetes/kubernetes/pulls/130015
kubernetes/kubernetes,130014,tallclair,2025-02-06T19:23:19Z,2025-02-07T07:49:55Z,2025-02-07T07:49:55Z,1,12.395,12.443333333333333,22,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130014
kubernetes/kubernetes,130012,tallclair,2025-02-06T19:12:04Z,2025-02-07T07:49:55Z,2025-02-07T07:49:55Z,1,12.583333333333334,12.630833333333333,22,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130012
kubernetes/kubernetes,130011,tallclair,2025-02-06T19:10:49Z,2025-02-07T08:37:55Z,2025-02-07T08:37:55Z,2,12.605277777777777,13.451666666666666,22,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130011
kubernetes/kubernetes,130010,tallclair,2025-02-06T18:57:51Z,2025-02-07T07:47:56Z,2025-02-07T07:47:56Z,1,12.8225,12.834722222222222,22,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130010
kubernetes/kubernetes,130009,kannon92,2025-02-06T18:04:32Z,2025-02-12T18:48:20Z,2025-02-12T18:48:20Z,12,12.640277777777778,144.73,28,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130009
kubernetes/kubernetes,130003,xigang,2025-02-06T11:41:42Z,,2025-02-06T13:20:32Z,3,0.6669444444444445,1.6472222222222221,6,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/130003
kubernetes/kubernetes,129999,pohly,2025-02-06T10:46:22Z,2025-02-06T11:59:55Z,2025-02-06T11:59:55Z,0,,1.2258333333333333,2,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/129999
kubernetes/kubernetes,129993,aramase,2025-02-05T20:10:48Z,2025-02-06T22:39:55Z,2025-02-06T22:39:55Z,7,7.828611111111111,26.485277777777778,189,3,https://api.github.com/repos/kubernetes/kubernetes/pulls/129993
kubernetes/kubernetes,129981,cmwylie19,2025-02-04T18:44:05Z,,2025-02-09T14:02:41Z,1,64.7375,115.31,215,2,https://api.github.com/repos/kubernetes/kubernetes/pulls/129981
kubernetes/kubernetes,129980,AwesomePatrol,2025-02-04T14:39:41Z,,2025-02-06T21:45:17Z,13,1.4469444444444444,55.093333333333334,4,2,https://api.github.com/repos/kubernetes/kubernetes/pulls/129980
kubernetes/kubernetes,129976,pohly,2025-02-04T12:38:53Z,,2025-02-07T09:49:51Z,0,,69.18277777777777,2,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/129976
kubernetes/kubernetes,129968,sanposhiho,2025-02-03T20:25:22Z,2025-02-04T09:36:59Z,2025-02-04T09:36:59Z,0,,13.19361111111111,4,1,https://api.github.com/repos/kubernetes/kubernetes/pulls/129968
kubernetes/kubernetes,129966,cpanato,2025-02-03T17:45:22Z,2025-02-07T17:31:57Z,2025-02-07T17:31:58Z,2,0.155,95.77638888888889,22,7,https://api.github.com/repos/kubernetes/kubernetes/pulls/129966
kubernetes/kubernetes,129965,cpanato,2025-02-03T17:42:47Z,2025-02-07T20:11:55Z,2025-02-07T20:11:55Z,1,94.53611111111111,98.48555555555555,320,7,https://api.github.com/repos/kubernetes/kubernetes/pulls/129965
kubernetes/kubernetes,129964,cpanato,2025-02-03T17:40:18Z,2025-02-07T17:19:55Z,2025-02-07T17:19:55Z,1,94.57305555555556,95.66027777777778,82,7,https://api.github.com/repos/kubernetes/kubernetes/pulls/129964
kubernetes/kubernetes,129963,cpanato,2025-02-03T17:36:30Z,2025-02-07T20:15:55Z,2025-02-07T20:15:55Z,3,0.09888888888888889,98.65694444444445,82,7,https://api.github.com/repos/kubernetes/kubernetes/pulls/129963
kubernetes/kubernetes,129962,cpanato,2025-02-03T17:27:23Z,2025-02-05T13:48:16Z,2025-02-05T13:48:16Z,1,38.81861111111111,44.348055555555554,22,7,https://api.github.com/repos/kubernetes/kubernetes/pulls/129962
