repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,url
microsoft/vscode,240658,alexr00,2025-02-13T13:10:18Z,2025-02-13T14:23:06Z,2025-02-13T14:23:06Z,1,1.2125,1.2133333333333334,103,1,https://api.github.com/repos/microsoft/vscode/pulls/240658
microsoft/vscode,240653,alexr00,2025-02-13T12:25:46Z,2025-02-13T13:06:13Z,2025-02-13T13:06:13Z,1,0.6736111111111112,0.6741666666666667,23,1,https://api.github.com/repos/microsoft/vscode/pulls/240653
microsoft/vscode,240646,bpasero,2025-02-13T11:45:54Z,2025-02-13T12:07:39Z,2025-02-13T12:07:39Z,1,0.3622222222222222,0.3625,14,1,https://api.github.com/repos/microsoft/vscode/pulls/240646
microsoft/vscode,240635,lszomoru,2025-02-13T10:39:54Z,2025-02-13T11:15:01Z,2025-02-13T11:15:01Z,1,0.5847222222222223,0.5852777777777778,20,4,https://api.github.com/repos/microsoft/vscode/pulls/240635
microsoft/vscode,240631,deepak1556,2025-02-13T10:16:45Z,2025-02-13T11:56:46Z,2025-02-13T11:56:46Z,1,0.1288888888888889,1.6669444444444443,1,1,https://api.github.com/repos/microsoft/vscode/pulls/240631
microsoft/vscode,240630,DonJayamanne,2025-02-13T10:14:58Z,2025-02-13T11:10:26Z,2025-02-13T11:10:26Z,1,0.49527777777777776,0.9244444444444444,60,2,https://api.github.com/repos/microsoft/vscode/pulls/240630
microsoft/vscode,240625,alexr00,2025-02-13T09:26:42Z,2025-02-13T10:26:15Z,2025-02-13T10:26:15Z,1,0.9919444444444444,0.9925,3,1,https://api.github.com/repos/microsoft/vscode/pulls/240625
microsoft/vscode,240622,alexr00,2025-02-13T08:45:32Z,2025-02-13T10:49:27Z,2025-02-13T10:49:27Z,2,0.04472222222222222,2.0652777777777778,82,6,https://api.github.com/repos/microsoft/vscode/pulls/240622
microsoft/vscode,240621,lszomoru,2025-02-13T08:06:58Z,2025-02-13T08:21:37Z,2025-02-13T08:21:37Z,1,0.09111111111111111,0.24416666666666667,6,1,https://api.github.com/repos/microsoft/vscode/pulls/240621
microsoft/vscode,240618,bpasero,2025-02-13T06:41:15Z,2025-02-13T06:59:04Z,2025-02-13T06:59:04Z,1,0.29638888888888887,0.29694444444444446,18,1,https://api.github.com/repos/microsoft/vscode/pulls/240618
microsoft/vscode,240600,justschen,2025-02-13T00:39:31Z,2025-02-13T01:28:59Z,2025-02-13T01:28:59Z,1,0.7097222222222223,0.8244444444444444,187,6,https://api.github.com/repos/microsoft/vscode/pulls/240600
microsoft/vscode,240599,hediet,2025-02-13T00:37:18Z,2025-02-13T01:22:05Z,2025-02-13T01:22:06Z,1,0.7425,0.7463888888888889,10,2,https://api.github.com/repos/microsoft/vscode/pulls/240599
